ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
1.4,3.36,6.51,0.03,0.19,0.99,1693.47,60.05,214.55,304.62,0.49,1.18,2.4,18.72,58.38,16.86,0.87,29.01,80.58,288.92,-4.89,-16.27,-23.23,0.0,0.3,0.88,1729.28,159.34,233.38,310.95,0.49,1.65,3.33,9.92,69.95,3.04,0.64,29.68,70.38,199.97,1
-10.2,-1554.84,-34.94,0.05,0.18,0.48,1246.95,94.55,486.57,219.42,0.8,122.71,152.45,0.39,99.34,-1.08,0.2,22.25,36.29,-1949.14,0.37,33.57,0.73,0.0,0.15,0.52,718.4,60.21,357.63,152.26,0.8,73.01,90.93,13.13,98.9,14.69,0.22,9.47,25.19,113.69,1
-28.39,55.31,-44.27,0.02,0.06,0.58,567.58,27.39,604.53,318.2,1.42,-2.76,-1.95,10.17,151.33,-1.33,-0.55,25.49,60.12,2279.06,-15.29,22.14,-18.08,0.01,0.05,0.58,430.51,18.77,446.57,241.89,1.45,-2.1,-1.45,21.74,169.06,7.13,-0.86,9.15,43.79,-1106.55,1
-1.58,1.76,,0.06,0.29,0.29,,,,,1.87,-2.08,-1.11,-1.58,189.76,0.14,-0.48,0.0,,0.0,-5.86,4.3,,0.08,0.08,0.08,,,,,2.32,-1.71,-0.73,-5.86,236.26,-1.36,-0.56,0.15,,0.0,1
-16.81,44.66,-69.45,0.07,1.23,1.71,1504.12,678.72,417.29,282.01,1.38,-3.66,-2.66,-13.81,137.63,-7.47,1.84,11.1,12.38,-71.32,0.77,-1.69,3.41,0.0,0.31,0.49,1611.08,686.65,2050.5,409.49,1.46,-3.19,-2.19,4.17,145.61,6.73,-1.28,11.29,15.04,-57.43,1
-33.71,155.72,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,-33.71,121.65,-27.71,0.46,54.71,,,0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,1
