ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-0.17,0.13,,0.0,0.13,0.44,,,,,2.29,-1.77,-0.77,-0.17,229.43,-0.07,-10.6,0.0,,,1
-81.98,173.28,,0.0,0.7,0.73,279.79,181.29,315.15,10.48,147.31,-311.37,-2.11,-6.43,147.31,-54.55,-10.74,17.26,42.68,234.4,1
-34.23,103.54,,0.15,0.58,0.58,209.74,116.61,253.81,,1.33,-4.02,-3.02,-28.71,133.06,-21.99,-1.23,6.92,2.31,-38.88,1
-14.52,141.96,,0.2,0.42,0.91,1001.82,241.71,975.13,529.27,1.1,-10.78,-9.78,-10.37,110.23,-12.8,,11.6,8.69,-45.5,1
-2.89,3130.47,,0.0,1.03,1.05,1333.34,768.94,925.26,22.64,100.09,-108503.77,-1084.04,6.25,100.09,-1.83,1.15,13.19,24.3,2445.6,1
0.0,0.0,,,0.49,0.49,,,,,2.05,-1.95,-0.95,0.0,204.8,0.0,,33.01,,,1
-242.18,15.5,-111.27,0.0,0.02,0.02,167.25,41.9,2620.18,,16.62,-1.06,-0.06,85.14,1662.25,-14.24,-21.0,0.0,150.39,214.35,1
-43.82,269.51,-35.78,0.02,1.13,1.22,297.2,46.37,109.41,19.67,116.01,-713.57,-6.15,3.48,116.01,-36.14,-0.25,35.01,27.04,262.0,1
-37.89,14.8,,0.01,0.3,0.31,-2721.48,-2439.22,-8440.47,-79.29,355.97,-139.07,-0.39,-19.99,355.97,-10.64,-305.03,0.0,-101.2,-70.23,1
-20.21,19.39,,0.0,0.49,0.49,,,,,2.04,-1.96,-0.96,-20.21,204.26,-9.9,,0.0,,0.0,1
-141.89,84.65,,0.0,0.17,0.21,-1432.2,-463.86,-3533.44,-130.99,2.68,-1.6,-0.6,-119.55,267.63,-52.6,-5.54,17.67,-63.15,-14.53,1
-23.75,-32.71,-39.38,0.03,0.4,0.66,603.71,43.28,97.64,30.84,0.27,0.38,1.38,-6.34,27.4,-66.01,0.91,9.11,20.83,108.23,1
-0.85,-902.99,-1.17,0.01,1.0,1.01,501.96,433.29,490.32,3.73,1.0,1058.79,1059.79,10.48,99.91,-0.54,,0.07,10.95,103.09,1
-37.38,67.04,-13.04,0.08,0.62,0.62,126.94,105.79,195.56,0.17,1.56,-2.79,-1.79,-13.6,155.77,-23.44,-15.83,0.0,8.29,-149.4,1
