ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-65.45,146.21,-36.4,0.01,0.45,0.48,202.43,114.74,251.16,7.2,1.45,-3.23,-2.23,-50.71,144.76,-40.96,-0.85,15.25,5.75,449.65,1
-590.44,92.34,-53.12,0.12,0.13,0.13,32.75,1.66,230.05,,7.39,-1.16,-0.16,100.49,739.46,-79.35,-74.58,0.0,45.01,148.1,1
0.02,0.16,0.02,0.0,0.25,0.89,256.45,43.57,96.72,114.02,0.86,6.06,7.06,43.08,85.83,6.92,0.6,32.25,21.68,57.96,1
12.87,-8.51,8.78,0.0,0.21,0.22,248.26,82.5,400.09,4.61,2.51,-1.66,-0.66,72.4,251.18,5.48,-1.17,80.46,29.7,52.17,1
-1.01,-2.62,-0.8,0.01,0.78,1.04,288.92,79.57,89.75,27.0,0.61,1.59,2.59,30.49,61.45,9.33,0.94,23.44,17.86,55.8,1
0.22,24.3,0.12,0.0,1.01,1.01,200.1,197.85,196.13,,0.99,110.9,111.9,0.59,99.11,0.3,,0.0,0.15,34.55,1
-492.85,28.82,-61.43,0.0,0.06,0.06,45.37,44.85,803.74,,18.1,-1.06,-0.06,623.84,1810.0,-27.23,,0.0,139.18,175.15,1
-2523.34,68.7,-96.77,0.0,0.01,0.01,13.96,2.1,520.78,,37.73,-1.03,-0.03,-673.25,3773.2,-60.75,-50.36,0.98,44.18,3875.95,1
,,,,,,,,,,,,,,,,,,,,1
-46.27,106.02,-10.31,-0.03,0.58,0.74,81.06,64.73,99.59,17.39,1.44,-3.29,-2.29,67.26,143.64,-32.21,,10.18,18.52,119.38,1
-8.1,45.83,-5.45,0.12,0.86,0.86,244.97,201.45,240.21,1.64,1.16,-6.6,-5.66,6.74,116.5,-6.62,-6.15,13.31,7.09,87.66,1
-129.55,295.21,-243.11,0.01,0.26,0.31,683.09,204.56,790.48,46.61,143.88,-327.88,-2.28,-97.18,143.88,-85.9,-0.45,7.93,43.17,117.22,1
-46.37,116.43,-1409.62,0.0,0.01,0.25,11066.29,41.37,6210.68,1660.19,1.28,-3.2,-2.51,-25.24,127.54,-29.9,0.14,55.85,446.96,-102.98,1
-110.4,24.85,-10.36,0.0,0.06,0.07,34.16,10.84,172.75,1.65,5.44,-1.23,-0.23,327.38,544.27,-9.2,-7.12,0.06,29.6,78.24,1
-9318.87,35.43,,0.0,0.0,0.0,5.78,5.36,1182.13,,264.03,-1.0,0.0,-682.74,26402.96,-35.29,,0.0,101.3,276.27,1
-10.75,71.81,-9.72,0.02,0.9,1.08,329.13,165.12,186.66,33.37,1.15,-7.68,-6.68,2.64,114.97,-8.55,1.11,21.18,12.1,194.32,1
-18.2,1291.07,-85.84,0.0,0.1,0.23,1716.35,59.86,567.9,82.5,0.79,-55.85,-70.92,-12.16,78.75,-1.55,0.42,43.36,20.18,128.69,1
-84.45,100.03,-50.55,0.03,0.06,0.29,217.87,7.64,380.08,89.22,1.84,-2.18,-1.18,-23.08,184.43,-44.1,-1.84,5.23,26.1,377.26,1
-12.15,-234.05,-15.34,0.01,0.45,0.73,459.53,116.63,148.68,76.25,0.78,14.99,19.27,-0.21,77.82,-1.41,0.27,25.81,10.78,65.76,1
10.88,-33.05,3.36,0.04,0.59,0.68,112.37,72.53,121.09,12.89,1.33,-4.04,-3.04,44.53,132.92,9.87,-1.77,15.2,7.46,46.24,1
-3.68,-73.82,-5.53,0.01,0.05,1.04,546.69,6.98,154.89,182.97,0.95,19.05,20.05,20.52,95.01,1.72,1.01,24.17,26.01,65.9,1
-89.12,32.63,-22.34,0.01,0.08,0.17,91.26,21.23,301.19,26.45,3.73,-1.37,-0.37,38.05,373.12,-20.84,-6.09,0.0,22.68,145.06,1
6.85,-11.76,4.03,0.01,0.14,0.21,214.24,43.37,311.96,22.77,1.58,-2.72,-1.72,48.54,158.29,6.48,-0.85,7.03,17.78,55.49,1
2.6,7.84,2.31,0.0,0.31,0.64,323.79,60.23,81.75,65.17,0.66,1.99,3.02,26.13,66.03,13.88,0.62,35.89,14.7,64.1,1
-19.16,38.89,-20.97,0.0,0.33,0.67,398.39,28.24,475.1,191.61,149.25,-303.03,-2.03,-7.51,149.25,-12.83,-17.2,24.5,12.74,-222.04,1
-12.26,134.4,-11.53,0.0,0.77,0.93,342.28,131.59,260.74,41.08,1.02,-11.19,-10.96,3.11,102.06,-6.39,-0.34,2.14,10.43,92.91,1
