ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,IS_BANKRUPT
1.4,3.36,6.51,0.03,0.19,0.99,1693.47,60.05,214.55,304.62,0.49,1.18,2.4,18.72,58.38,16.86,0.87,29.01,80.58,288.92,1
-10.2,-1554.84,-34.94,0.05,0.18,0.48,1246.95,94.55,486.57,219.42,0.8,122.71,152.45,0.39,99.34,-1.08,0.2,22.25,36.29,-1949.14,1
-28.39,55.31,-44.27,0.02,0.06,0.58,567.58,27.39,604.53,318.2,1.42,-2.76,-1.95,10.17,151.33,-1.33,-0.55,25.49,60.12,2279.06,1
-1.58,1.76,,0.06,0.29,0.29,,,,,1.87,-2.08,-1.11,-1.58,189.76,0.14,-0.48,0.0,,0.0,1
-16.81,44.66,-69.45,0.07,1.23,1.71,1504.12,678.72,417.29,282.01,1.38,-3.66,-2.66,-13.81,137.63,-7.47,1.84,11.1,12.38,-71.32,1
-33.71,155.72,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,-33.71,121.65,-27.71,0.46,54.71,,,1
