ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.09,0.15,0.08,0.0,1.19,1.68,306.62,151.33,111.93,63.53,0.39,0.64,1.64,19.48,39.0,17.08,2.47,13.42,16.33,90.02,-21.56,-100.15,-24.18,0.01,0.87,0.94,409.28,319.55,346.51,26.16,0.78,3.64,4.64,-4.93,78.47,-23.55,1.86,9.48,18.65,125.08,1
-62.44,59.49,-33.43,0.01,0.4,0.41,194.9,150.73,388.16,6.11,2.05,-1.95,-0.95,43.29,204.95,-28.09,-6.48,0.0,56.61,249.29,-47.91,30.95,-24.18,0.08,0.36,0.36,184.17,113.43,402.29,0.17,2.55,-1.65,-0.65,85.33,254.81,-15.95,-6.58,21.32,67.23,654.21,1
0.42,1.83,0.33,0.03,0.76,0.94,280.99,138.22,171.29,36.31,0.77,3.33,4.33,10.34,76.92,8.92,0.98,13.54,7.66,53.31,0.41,2.62,0.33,0.01,0.87,1.0,287.58,187.81,203.78,30.52,0.84,5.34,6.34,7.34,84.22,5.12,1.0,11.01,5.46,62.07,1
-0.38,-2.4,-0.23,-0.02,1.05,1.23,221.16,187.98,175.77,32.07,0.84,5.34,6.34,16.77,84.23,0.04,21.56,0.0,10.42,119.54,-0.57,-2.03,-0.28,-0.13,1.16,1.51,183.15,151.62,117.9,42.44,0.72,2.59,3.59,30.14,72.11,0.02,33.79,0.0,15.41,158.26,1
4.28,32.06,3.64,0.02,1.08,1.08,309.79,283.74,265.47,,0.87,6.49,7.49,4.38,86.65,7.05,2.44,0.0,0.08,1.45,9.25,75.01,6.64,0.06,0.71,0.72,261.96,146.61,225.62,3.75,0.88,7.11,8.11,22.35,87.67,17.82,0.34,0.0,9.4,42.75,1
7.0,85.07,3.32,0.0,2.29,2.29,172.53,170.47,74.66,,0.92,11.16,12.16,11.55,91.78,7.62,,0.0,2.16,81.27,0.06,2.84,0.05,0.0,3.46,3.46,297.24,293.04,84.75,,0.98,46.23,47.23,9.42,97.88,0.06,,0.0,7.62,79.27,1
0.88,2.33,10.73,0.01,0.46,0.51,4424.88,1200.32,2683.41,138.88,0.62,1.63,2.64,4.83,62.05,2.57,0.66,0.01,47.96,75.27,-0.55,-1.47,-12.81,0.01,0.51,0.53,8543.63,2599.93,5243.84,146.02,0.63,1.68,2.69,0.73,62.76,1.84,0.67,0.01,29.91,58.79,1
2.92,16.21,2.12,0.32,0.85,0.85,264.63,106.7,159.85,,0.82,4.56,5.56,19.57,82.0,9.42,0.9,16.43,12.11,46.41,-265.59,139.1,-30.15,0.0,0.34,0.34,41.43,40.29,118.74,,2.91,-1.52,-0.52,-129.59,290.94,-64.67,,0.0,15.44,100.91,1
1.59,9.57,1.11,-0.1,0.55,1.3,254.65,93.66,145.33,111.36,0.8,4.79,6.01,12.87,83.37,3.71,0.83,0.0,7.89,75.39,35.96,71.33,41.35,-0.56,0.89,2.45,419.75,147.48,101.23,160.14,0.5,0.98,1.98,43.17,49.59,77.29,1.94,0.0,8.3,64.46,1
0.38,3.32,0.36,0.02,0.77,0.84,345.8,220.22,252.38,19.92,0.89,7.73,8.73,16.52,88.55,4.71,0.5,12.47,15.33,101.9,0.1,1.0,0.1,0.01,0.72,0.76,358.68,219.42,268.79,14.6,0.9,8.92,9.92,15.0,89.92,4.37,0.36,11.44,14.64,174.5,1
-11.87,-42.92,-14.12,0.01,0.53,0.62,433.16,127.39,209.25,30.05,0.72,2.62,3.62,15.6,72.35,-11.25,0.52,22.05,32.68,111.81,-15.8,-109.54,-24.71,0.01,0.35,0.44,570.63,152.32,394.19,40.81,0.86,5.93,6.93,7.54,85.57,-14.24,0.26,12.91,36.5,153.06,1
0.32,0.51,,0.02,0.79,0.79,,,,,0.38,0.61,1.61,0.66,37.86,0.94,0.88,0.0,,-1122.75,-1.25,-2.05,-5388.71,0.0,0.77,0.77,1575692.55,393216.56,598876.09,,0.39,0.64,1.64,-1.26,39.02,-3.12,0.87,0.0,-38.59,3.85,1
-1.3,-4.05,-1.4,0.15,2.8,2.85,390.63,168.33,63.73,3.27,0.68,2.11,3.11,27.46,67.85,3.84,1.52,0.0,30.87,81.66,-28.73,-444.68,-46.49,0.06,1.07,1.09,590.66,214.72,210.86,2.99,0.93,14.43,15.48,2.06,93.54,-26.21,1.05,0.0,49.83,170.94,1
-39.07,7.77,-39.15,0.0,0.17,0.17,364.7,346.67,2041.58,0.33,6.03,-1.2,-0.2,50.82,602.62,-5.9,-152.06,0.0,90.06,230.72,-202.95,16.99,-230.8,0.0,0.08,0.08,415.08,386.7,5001.19,0.44,12.95,-1.08,-0.08,-70.16,1294.87,-15.55,-239.78,0.0,151.01,358.82,1
-6.48,-123.14,-3.97,0.05,0.84,0.85,222.97,98.25,150.74,1.34,0.88,16.8,19.01,19.86,94.74,-0.4,0.58,0.0,16.13,76.59,-16.58,132.08,-12.27,0.02,0.66,0.67,270.12,174.13,290.34,1.19,1.1,-8.77,-7.97,0.87,112.55,-9.77,-0.44,0.0,12.91,290.34,1
14.07,128.16,4.26,0.01,0.03,0.14,110.11,6.84,265.28,30.45,2.53,23.01,9.11,98.73,89.02,8.63,0.19,0.0,25.61,40.55,-0.4,-13.6,-0.58,0.0,0.05,0.85,529.52,22.65,472.64,381.06,0.97,33.02,34.02,19.52,97.06,0.52,0.15,0.0,28.9,78.35,1
1.88,7.26,2.84,0.19,0.59,0.93,548.05,62.64,118.65,54.41,0.65,2.51,3.85,16.1,74.06,15.36,0.85,40.66,21.41,64.89,0.22,1.8,0.38,0.09,0.97,1.16,615.79,207.68,136.3,45.34,0.83,6.68,8.07,10.79,87.61,8.05,1.03,56.54,17.82,54.41,1
-2.09,-7.12,-1.15,0.06,0.78,1.1,200.0,89.02,123.48,40.91,0.71,2.41,3.41,15.63,70.68,6.41,1.18,4.38,9.74,76.57,-31.25,2870.61,-26.96,0.16,0.41,0.55,314.87,67.58,293.37,43.09,1.01,-92.87,-91.87,-17.22,101.09,-23.57,0.1,3.42,12.1,-266.19,1
-17.5,-72.48,-22.1,0.02,2.58,2.9,459.84,383.55,68.53,48.11,0.76,3.14,4.14,3.76,75.86,-19.64,16.81,17.98,26.86,402.39,5.35,23.46,4.49,0.07,1.96,2.13,306.5,256.03,79.12,24.68,0.77,3.38,4.38,20.8,77.19,8.6,34.03,19.92,12.98,48.26,1
7.58,74.12,1.77,0.15,0.73,1.1,84.76,40.61,69.93,26.75,0.9,8.78,9.78,23.01,89.77,11.25,2.08,5.42,3.59,40.66,1.92,46.08,0.89,0.03,0.91,1.02,169.11,135.36,154.96,17.63,0.96,23.02,24.02,17.79,95.84,2.0,1.33,1.52,7.35,153.21,1
