ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-1.01,-2.48,,1.6,1.69,1.69,,,,,0.59,1.45,2.45,-1.01,59.21,-1.71,,0.0,,,-0.4,-9.22,,1.05,1.05,1.05,15661.52,,14812.78,,0.96,21.89,22.89,-0.4,95.63,-0.42,,0.0,0.0,0.0,1.63,27.63,,1.06,1.06,1.06,18436.23,,17158.92,,0.94,15.97,16.97,1.63,94.11,1.73,,0.0,0.0,0.0,1
-12.14,12.62,-2.82,0.06,0.19,0.56,84.61,18.87,125.42,52.05,1.96,-2.04,-1.04,84.03,196.21,-4.85,-20.75,22.63,22.35,105.45,-30.84,12.92,-5.46,0.01,0.14,0.32,64.47,26.29,176.36,34.77,3.39,-1.42,-0.42,38.12,338.65,-6.92,-108.23,28.28,12.21,98.76,-431.2,14.33,-164.15,0.03,0.03,0.03,138.57,1.63,3700.62,15.28,31.1,-1.03,-0.03,-376.17,3109.68,-13.11,,273.35,20.95,-16.15,1
-1.33,-134.05,,,1.54,1.54,,,,,0.99,100.01,101.01,-0.31,99.01,5.4,1.6,2.89,,-35345.45,1.08,48.04,,,0.0,,,,,,97.75,4340.3,44.4,3.44,97.75,5.01,0.45,1.43,,-7289.87,2.19,65.56,,,0.0,,,,,,96.66,2897.5,29.97,4.02,96.66,2.85,0.45,0.0,,-1338.44,1
-2.55,29.25,,,1.02,1.02,,,,,1.09,-12.45,-11.45,-2.55,108.74,-2.35,,10.31,,,-1.14,6.31,,,0.94,0.94,,,,,118.03,-654.77,-5.55,-1.14,118.03,-0.96,,11.01,,,-19873.85,79.15,,,0.0,0.0,,,,,25208.51,-100.4,0.0,-19873.85,25208.51,-78.84,,3201.23,,0.0,1
