ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,IS_BANKRUPT
0.09,0.15,0.08,0.0,1.19,1.68,306.62,151.33,111.93,63.53,0.39,0.64,1.64,19.48,39.0,17.08,2.47,13.42,16.33,90.02,1
-62.44,59.49,-33.43,0.01,0.4,0.41,194.9,150.73,388.16,6.11,2.05,-1.95,-0.95,43.29,204.95,-28.09,-6.48,0.0,56.61,249.29,1
0.42,1.83,0.33,0.03,0.76,0.94,280.99,138.22,171.29,36.31,0.77,3.33,4.33,10.34,76.92,8.92,0.98,13.54,7.66,53.31,1
-0.38,-2.4,-0.23,-0.02,1.05,1.23,221.16,187.98,175.77,32.07,0.84,5.34,6.34,16.77,84.23,0.04,21.56,0.0,10.42,119.54,1
4.28,32.06,3.64,0.02,1.08,1.08,309.79,283.74,265.47,,0.87,6.49,7.49,4.38,86.65,7.05,2.44,0.0,0.08,1.45,1
7.0,85.07,3.32,0.0,2.29,2.29,172.53,170.47,74.66,,0.92,11.16,12.16,11.55,91.78,7.62,,0.0,2.16,81.27,1
0.88,2.33,10.73,0.01,0.46,0.51,4424.88,1200.32,2683.41,138.88,0.62,1.63,2.64,4.83,62.05,2.57,0.66,0.01,47.96,75.27,1
2.92,16.21,2.12,0.32,0.85,0.85,264.63,106.7,159.85,,0.82,4.56,5.56,19.57,82.0,9.42,0.9,16.43,12.11,46.41,1
1.59,9.57,1.11,-0.1,0.55,1.3,254.65,93.66,145.33,111.36,0.8,4.79,6.01,12.87,83.37,3.71,0.83,0.0,7.89,75.39,1
0.38,3.32,0.36,0.02,0.77,0.84,345.8,220.22,252.38,19.92,0.89,7.73,8.73,16.52,88.55,4.71,0.5,12.47,15.33,101.9,1
-11.87,-42.92,-14.12,0.01,0.53,0.62,433.16,127.39,209.25,30.05,0.72,2.62,3.62,15.6,72.35,-11.25,0.52,22.05,32.68,111.81,1
0.32,0.51,,0.02,0.79,0.79,,,,,0.38,0.61,1.61,0.66,37.86,0.94,0.88,0.0,,-1122.75,1
-1.3,-4.05,-1.4,0.15,2.8,2.85,390.63,168.33,63.73,3.27,0.68,2.11,3.11,27.46,67.85,3.84,1.52,0.0,30.87,81.66,1
-39.07,7.77,-39.15,0.0,0.17,0.17,364.7,346.67,2041.58,0.33,6.03,-1.2,-0.2,50.82,602.62,-5.9,-152.06,0.0,90.06,230.72,1
-6.48,-123.14,-3.97,0.05,0.84,0.85,222.97,98.25,150.74,1.34,0.88,16.8,19.01,19.86,94.74,-0.4,0.58,0.0,16.13,76.59,1
14.07,128.16,4.26,0.01,0.03,0.14,110.11,6.84,265.28,30.45,2.53,23.01,9.11,98.73,89.02,8.63,0.19,0.0,25.61,40.55,1
1.88,7.26,2.84,0.19,0.59,0.93,548.05,62.64,118.65,54.41,0.65,2.51,3.85,16.1,74.06,15.36,0.85,40.66,21.41,64.89,1
-2.09,-7.12,-1.15,0.06,0.78,1.1,200.0,89.02,123.48,40.91,0.71,2.41,3.41,15.63,70.68,6.41,1.18,4.38,9.74,76.57,1
-17.5,-72.48,-22.1,0.02,2.58,2.9,459.84,383.55,68.53,48.11,0.76,3.14,4.14,3.76,75.86,-19.64,16.81,17.98,26.86,402.39,1
7.58,74.12,1.77,0.15,0.73,1.1,84.76,40.61,69.93,26.75,0.9,8.78,9.78,23.01,89.77,11.25,2.08,5.42,3.59,40.66,1
0.19,2.95,0.06,0.01,1.0,1.03,114.38,100.0,100.81,2.18,0.94,14.62,15.62,112.89,93.6,3.94,0.83,0.0,35.41,94.91,1
1.72,6.0,0.59,0.18,1.31,1.31,123.81,89.1,83.75,0.09,0.71,2.48,3.48,46.73,71.27,7.47,2.88,0.0,15.31,85.49,1
7.91,29.98,7.54,-0.15,0.68,0.69,347.0,106.35,127.95,0.41,0.74,2.79,3.79,17.25,73.63,22.59,0.85,2.01,8.9,34.66,1
0.94,2.62,1.17,-0.08,0.79,1.34,451.71,198.28,230.78,127.0,0.64,1.79,2.79,7.55,64.15,1.9,1.56,12.06,8.21,72.87,1
-33.76,154.93,-25.66,0.06,0.66,0.71,276.6,168.87,262.46,13.47,1.21,-5.57,-4.59,-18.7,121.79,-13.06,-0.13,20.22,11.45,256.73,1
3.32,-0.32,,0.0,0.09,0.09,,,,,11.51,-1.1,-0.1,3.32,1150.95,0.29,,0.0,,0.0,1
9.35,11.28,98.78,106.25,528.15,528.15,3844.08,2415.47,5.73,,0.17,0.21,1.21,9.35,17.08,63.66,4.09,0.0,0.0,0.0,1
-2.1,-337.57,-1.75,0.02,0.53,0.98,302.15,119.09,190.83,104.2,0.94,150.42,160.57,3.67,99.38,1.55,0.68,23.34,4.79,78.31,1
14.14,85.97,1.47,0.4,1.12,1.21,37.91,20.65,18.51,2.71,0.84,5.08,6.08,65.77,83.55,22.78,2.78,27.47,5.38,51.74,1
1.17,2.18,0.29,0.13,1.77,1.77,91.29,67.53,41.18,,0.46,0.86,1.87,2.25,46.54,3.07,56.38,0.0,0.27,91.82,1
