ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,IS_BANKRUPT
0.01,0.04,0.01,0.01,0.58,0.79,329.85,60.96,101.02,23.16,0.67,4.9,7.35,9.88,86.39,4.36,0.64,19.34,8.95,198.39,1
-8.09,-16.2,-7.19,0.02,0.12,0.26,323.82,10.7,39.83,17.18,0.45,0.91,2.0,41.22,50.1,4.3,0.65,30.94,43.86,90.88,1
31.75,94.26,16.52,0.03,0.98,0.98,180.04,118.17,124.17,0.0,0.66,1.97,2.97,47.18,66.32,58.45,0.96,0.0,8.03,25.02,1
-28.59,62.59,-10.06,0.17,0.53,0.67,128.07,60.96,169.59,24.1,1.46,-3.19,-2.19,81.08,145.67,-18.47,-3.56,7.93,38.59,127.82,1
-81.46,22.73,-6.82,0.14,0.17,0.2,30.49,3.51,137.48,3.84,4.58,-1.28,-0.28,466.2,458.42,-17.23,-48.07,0.0,45.88,116.05,1
0.48,1542.86,0.82,0.0,0.32,0.93,617.58,190.13,569.61,364.72,1.0,3192.3,3195.67,18.33,99.97,6.61,0.25,3.81,30.29,55.18,1
-10.0,-61.4,-17.17,0.03,1.0,1.11,624.98,215.08,168.19,24.28,0.84,5.14,6.14,10.51,83.72,-2.85,1.05,54.32,35.22,93.5,1
24.42,37.79,13.01,0.02,0.73,2.14,193.89,41.01,54.8,84.73,0.35,0.55,1.55,72.11,35.39,90.1,2.07,2.44,25.41,55.33,1
-0.08,-4.19,-0.05,0.01,0.15,0.26,218.51,26.39,174.27,21.91,0.98,52.14,53.14,36.85,98.12,0.01,0.16,17.35,22.17,97.53,1
-81.02,146.43,-35.75,0.15,0.43,0.44,160.6,67.42,219.61,0.45,1.55,-2.8,-1.81,21.28,155.33,-45.31,-1.62,12.77,45.14,-290.31,1
2.68,6.19,2.51,0.07,0.96,1.09,340.84,156.04,176.71,22.98,0.53,1.23,2.31,46.26,56.65,11.52,1.05,0.0,40.8,79.52,1
-43.74,104.64,-15.93,0.0,0.23,0.6,132.57,38.4,148.47,64.16,1.32,-3.16,-2.39,34.73,141.8,-23.62,-1.94,16.29,28.58,165.89,1
-4.87,-34.16,-7.4,0.03,0.92,1.22,552.96,149.15,133.11,50.12,0.86,6.01,7.01,9.91,85.74,1.07,1.09,39.7,22.46,67.2,1
1.63,6.44,2.77,0.03,0.5,1.08,618.62,161.19,179.82,201.07,0.65,2.58,3.94,15.89,74.65,17.21,0.91,28.55,24.22,75.28,1
-7.41,-18.29,-5.21,0.24,1.33,1.41,255.87,136.85,125.28,9.25,0.59,1.47,2.47,11.44,59.47,-2.07,3.57,0.0,13.25,84.13,1
1.44,10.29,1.25,0.01,0.78,1.14,317.0,151.6,167.89,72.14,0.86,6.13,7.15,19.72,86.01,4.71,0.78,16.25,15.92,74.49,1
-8.98,113.08,-1.11,0.07,0.8,1.0,45.09,0.67,37.84,7.52,1.08,-13.59,-12.59,534.51,107.94,-4.67,-0.57,0.0,67.33,117.55,1
0.67,32.78,0.48,0.12,0.29,1.08,260.3,24.31,122.41,108.24,0.98,47.79,48.79,44.26,97.95,5.35,1.02,5.19,31.17,112.44,1
1.94,-28.12,8.47,0.08,0.31,0.36,1587.33,112.96,469.68,23.11,1.07,-15.48,-14.48,10.68,106.9,87.16,0.77,1.07,38.11,243.72,1
-22.7,-189.82,-133.14,0.38,0.38,0.38,2135.0,0.0,1871.58,0.0,0.88,7.36,8.36,-6.33,88.04,-0.97,0.17,0.0,96.04,96.86,1
-0.31,-27.13,-0.22,0.04,1.04,1.75,120.35,125.28,125.18,90.23,0.99,85.4,86.67,42.84,98.85,2.08,3.57,0.0,30.55,93.11,1
0.96,5.18,0.78,0.09,0.97,1.26,296.7,130.14,95.26,48.1,0.78,4.19,5.39,17.38,81.46,6.36,1.33,36.61,13.38,74.79,1
-1.27,-7.94,-1.48,-0.31,0.24,0.83,425.4,100.16,191.77,114.76,0.84,5.28,6.28,9.03,84.06,4.74,0.8,19.89,12.03,62.07,1
-59.67,-103.41,-39.34,0.0,0.18,0.35,239.96,18.02,85.82,16.35,0.42,0.73,1.73,-17.41,42.3,-141.07,0.68,5.51,27.86,-459.07,1
22.66,67.46,5.71,1.87,2.09,2.09,91.78,6.62,30.35,,0.66,1.98,2.98,284.25,66.41,76.89,2.98,24.85,65.96,81.66,1
-1.36,-57.03,-594.57,0.08,0.11,0.13,40652.68,618.91,27043.78,721.16,0.98,40.93,41.93,-1.35,97.61,-1.14,0.85,0.0,4.62,-10.57,1
-7.15,-731.88,-3.0,0.09,0.35,0.82,152.66,35.05,93.89,65.22,0.95,97.63,102.29,10.04,99.02,-0.52,0.24,27.43,7.21,87.03,1
-23.69,-726.26,-23.31,0.22,0.91,0.91,179.08,168.75,244.5,0.1,0.97,29.66,30.66,-8.01,96.74,-21.78,0.85,0.0,15.42,-469.95,1
0.39,1.14,0.27,0.03,0.7,1.75,250.64,49.44,65.52,78.4,0.66,1.96,2.96,22.99,66.17,10.4,1.42,25.1,15.56,68.18,1
-4.03,-5.37,,0.25,0.71,0.71,,,,,0.25,0.33,1.33,-4.03,25.05,-13.72,0.8,0.0,,0.0,1
