ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.02,0.1,0.01,0.03,0.75,1.15,197.34,86.3,118.52,47.93,0.81,4.26,5.26,14.62,81.0,5.15,1.2,15.15,7.91,61.86,1
0.0,0.0,,0.09,0.94,0.98,,,,,1.04,-23.31,-22.31,0.0,104.48,0.0,-1.89,0.0,,,1
0.07,0.86,0.04,0.0,0.27,0.78,193.97,41.71,89.79,78.21,0.92,11.39,12.44,49.64,91.96,7.38,0.52,33.1,26.41,91.19,1
-8.36,4.42,-4.79,0.0,0.09,0.1,208.67,50.07,352.51,4.49,2.83,-1.5,-0.53,66.87,289.09,-1.37,-2.58,108.01,43.12,88.23,1
-0.15,-0.38,-0.13,0.01,0.69,0.99,321.69,68.28,82.47,31.68,0.6,1.5,2.5,29.33,60.05,12.07,0.93,29.06,26.05,79.02,1
0.35,23.63,0.17,0.01,0.85,0.85,174.28,142.04,169.78,,0.99,65.73,66.73,0.35,98.5,0.47,0.09,0.0,0.0,0.0,1
-61705.35,85.73,-93.77,0.0,0.0,0.0,0.55,0.35,394.3,,720.75,-1.0,0.0,15928.88,72074.87,-85.61,,0.0,117.98,479.41,1
-66.58,89.52,-44.62,0.02,0.44,0.45,243.95,175.31,414.26,3.17,1.74,-2.34,-1.34,25.77,174.38,-34.17,-3.29,0.0,61.9,210.71,1
229.82,2.35,-51.7,-0.03,-0.03,-0.03,-81.89,,6281.78,0.0,-96.69,-0.99,0.01,229.82,-9668.54,-2.38,-49.75,-1912.19,0.0,0.0,1
0.24,10.89,0.04,-0.1,0.77,1.11,56.86,43.24,50.23,17.41,0.98,44.41,45.41,95.55,97.8,0.25,11.25,0.64,14.89,92.25,1
-9.26,233.27,-6.05,0.21,0.94,0.95,237.57,175.39,174.89,2.72,1.04,-26.17,-25.18,3.61,103.97,-5.21,-1.3,27.86,8.4,88.0,1
-8.22,-22.95,-19.61,0.0,1.12,1.18,868.4,188.13,502.27,30.88,0.64,1.79,2.79,8.21,64.2,-8.87,1.33,2.17,39.19,160.61,1
-34.98,205.87,-64034.73,0.0,0.06,0.19,666358.7,21408.53,322612.25,52315.57,1.17,-6.88,-5.89,-23.28,116.99,-25.28,0.45,66.43,21414.84,-75.17,1
271.86,-152.75,40.15,0.01,0.11,0.13,53.75,13.08,138.27,3.33,2.78,-1.56,-0.56,520.64,277.98,113.03,-2.69,2.6,36.74,94.88,1
-150.41,32.23,-68.02,0.0,0.16,0.18,164.61,142.1,895.49,18.0,5.67,-1.21,-0.21,5.29,566.76,-26.54,,0.11,70.41,1905.21,1
-13.48,-133.5,-9.78,0.01,0.9,1.26,264.19,103.64,117.29,43.7,0.9,8.91,9.91,5.78,89.91,-11.6,1.26,16.88,13.98,-68.43,1
-20.08,-116.74,-242.64,0.0,0.18,0.31,4398.58,58.12,993.9,157.2,0.57,3.34,5.81,-15.81,82.8,-10.35,0.52,34.48,51.6,-96.5,1
-0.07,-573.08,-0.06,0.03,0.14,0.82,318.29,23.65,254.74,193.24,1.0,8245.83,8246.83,37.24,99.99,1.6,0.41,7.08,32.62,79.22,1
0.17,1.15,0.3,0.0,0.59,0.8,638.08,187.63,193.42,67.21,0.67,4.45,6.63,12.92,84.91,13.36,0.46,22.25,22.34,87.6,1
-33.94,155.71,-25.59,0.14,0.47,0.78,274.42,92.68,284.53,92.52,1.22,-5.59,-4.59,-5.79,121.8,-24.51,-0.74,4.39,21.22,276.95,1
2.63,36.11,,0.0,0.11,0.6,255.31,20.01,166.99,86.31,0.93,12.72,13.72,25.77,92.71,5.66,0.49,23.77,11.42,53.72,1
-135.43,58.15,-31.35,0.0,0.06,0.13,84.27,15.09,237.31,16.72,3.33,-1.43,-0.43,3.1,332.92,-36.57,-3.73,0.0,32.07,199.91,1
-10.8,16.48,-7.79,0.01,0.08,0.17,262.64,29.39,382.36,39.29,1.65,-2.53,-1.53,30.38,165.51,-4.25,-0.9,14.73,29.71,98.54,1
-42.76,-235.13,-52.61,0.0,0.08,0.4,447.81,27.42,162.55,107.5,0.81,4.44,5.5,-18.55,81.81,-43.88,0.34,38.39,29.79,-283.44,1
3.05,-12.05,2.68,0.28,1.72,3.5,319.12,90.09,88.01,159.22,1.25,-4.95,-3.95,8.68,125.32,2.53,30.04,24.64,4.93,52.08,1
-1.45,-9.74,-1.29,0.0,0.98,1.35,322.85,136.03,165.58,69.21,0.79,5.3,6.7,9.03,79.11,3.05,0.76,7.42,6.68,56.73,1
