ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-4.89,-16.27,-23.23,0.0,0.3,0.88,1729.28,159.34,233.38,310.95,0.49,1.65,3.33,9.92,69.95,3.04,0.64,29.68,70.38,199.97,1
0.37,33.57,0.73,0.0,0.15,0.52,718.4,60.21,357.63,152.26,0.8,73.01,90.93,13.13,98.9,14.69,0.22,9.47,25.19,113.69,1
-15.29,22.14,-18.08,0.01,0.05,0.58,430.51,18.77,446.57,241.89,1.45,-2.1,-1.45,21.74,169.06,7.13,-0.86,9.15,43.79,-1106.55,1
-5.86,4.3,,0.08,0.08,0.08,,,,,2.32,-1.71,-0.73,-5.86,236.26,-1.36,-0.56,0.15,,0.0,1
0.77,-1.69,3.41,0.0,0.31,0.49,1611.08,686.65,2050.5,409.49,1.46,-3.19,-2.19,4.17,145.61,6.73,-1.28,11.29,15.04,-57.43,1
0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,1
