ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.12,8.94,8.32,0.98,1.01,1.01,24942.8,907.8,24261.04,,0.99,72.4,73.4,1.22,98.64,0.12,,0.0,75.24,79.48,0.02,0.91,0.96,0.94,1.02,1.02,17959.52,1443.89,17376.62,0.0,0.98,45.88,46.88,1.77,97.87,0.02,,0.0,86.55,97.99,0
3.53,42.06,0.98,0.12,0.97,0.97,101.12,73.44,86.21,,0.92,10.92,11.92,32.48,91.61,8.15,0.67,0.0,8.02,72.12,2.2,44.3,0.87,0.21,1.09,1.09,143.47,109.64,123.62,,0.95,19.11,20.13,18.46,95.03,5.19,2.56,5.93,6.41,82.81,0
1.64,1.72,2.89,11.43,19.56,19.61,642.39,205.22,25.27,1.26,0.05,0.05,1.05,13.78,4.62,221.53,4.45,0.0,21.36,49.57,1.13,1.66,2.35,1.97,2.79,2.79,760.59,194.65,239.55,0.28,0.32,0.48,1.48,8.59,32.33,15.78,6.16,0.0,15.6,37.96,0
0.49,0.49,1.35,922.33,922.33,922.33,260.1,,1.08,,0.0,0.0,1.0,0.49,0.11,450.0,,0.0,0.0,0.0,5.61,5.73,4.74,47.17,47.17,47.17,307.7,,6.45,,0.02,0.02,1.02,5.61,2.12,264.57,,0.0,0.0,0.0,0
2.95,2.98,0.71,40.16,144.81,144.81,34.79,62.42,0.6,,0.01,0.01,1.01,7.68,0.69,427.91,,0.0,1.13,50.87,-0.08,-1.88,-0.05,0.04,1.0,1.0,211.29,168.89,175.4,,0.96,21.24,22.24,36.31,95.5,1.73,1.02,0.0,21.12,94.39,0
40.83,-89.71,,0.06,0.1,0.1,,,,,1.46,-3.2,-2.2,40.83,145.51,33.89,-0.54,0.0,,0.0,35.2,828.86,86.17,0.36,0.47,0.47,815.17,97.78,843.84,,95.75,2254.72,23.55,35.2,95.75,39.94,0.08,0.0,0.0,0.0,0
-28.64,866.12,-11.84,0.02,0.31,0.32,150.86,42.69,149.68,1.41,1.03,-31.24,-30.24,5.37,103.31,-13.33,-0.05,0.0,14.06,137.56,-36.48,90.82,-14.27,-0.13,0.14,0.15,142.4,48.58,179.31,1.56,1.4,-3.49,-2.49,6.75,140.17,-14.8,-0.41,9.22,16.91,218.99,0
73.41,89.52,50.78,1.2,5.72,5.72,252.47,196.61,43.56,,0.17,0.21,1.22,73.41,18.0,419.62,,0.0,0.0,0.0,18.57,21.68,15.76,2.29,7.12,7.12,308.95,207.41,42.91,,0.14,0.16,1.17,36.84,14.38,131.45,,0.0,15.51,40.55,0
-17.46,-25.74,-8.87,2.92,3.48,3.5,185.35,12.85,22.87,0.37,0.32,0.47,1.47,0.86,32.16,34.98,1.61,0.0,9.3,53.46,-5.8,-10.58,-1.74,0.72,1.97,1.97,109.25,48.16,10.16,0.23,0.45,0.82,1.82,2.26,45.12,45.98,2.26,26.44,2.42,18.76,0
-35.52,60.82,-33.53,,0.0,0.56,344.52,,506.75,288.56,1.58,-2.71,-1.71,-1.75,158.4,-21.43,-3.69,0.03,31.87,290.86,4.09,-11.69,3.94,0.04,0.23,0.75,350.24,92.29,464.32,240.62,1.35,-3.86,-2.86,18.13,134.98,3.03,,0.0,13.51,65.71,0
-0.38,-86.08,-10.76,0.02,0.03,0.03,10384.45,66.98,10197.21,0.0,1.0,226.65,227.65,-0.38,99.56,3.04,0.0,0.0,0.0,0.0,0.69,60.15,,0.02,0.02,0.02,6807.06,46.15,6654.46,,0.99,85.54,86.54,0.69,98.84,5.04,0.01,0.0,0.0,0.0,0
27.92,32.79,29.78,7.91,7.94,7.94,389.42,1.54,47.69,,0.15,0.17,1.17,27.92,14.88,187.66,,0.0,0.0,0.0,0.45,0.48,0.51,23.43,25.12,25.12,414.5,27.47,16.25,,0.07,0.07,1.07,0.45,6.65,6.73,,0.0,0.0,0.0,0
0.69,1.11,2.32,0.23,0.38,0.38,1233.71,67.45,452.73,,0.38,0.62,1.62,8.95,38.26,11.34,0.73,0.0,27.93,62.26,0.06,0.1,0.3,0.06,0.33,0.33,1889.74,196.28,734.31,,0.43,0.75,1.75,5.51,42.97,12.16,0.7,2.78,28.28,43.44,0
3.49,12.05,1.58,1.22,1.22,1.22,157.22,0.61,113.01,,0.71,2.45,3.45,124.42,71.01,4.92,,0.0,54.79,94.76,3.8,10.03,29.95,23.03,23.03,23.03,2871.44,,115.89,,0.62,1.64,2.64,9.43,62.15,6.11,,0.0,44.43,86.39,0
7.46,78.77,3.55,0.42,0.72,0.72,173.85,43.08,139.8,,0.91,9.56,10.56,73.42,90.53,21.95,0.39,5.9,31.42,73.5,8.36,49.37,4.35,0.76,0.9,0.9,189.47,21.39,147.38,,0.83,4.9,5.9,37.25,83.06,20.17,0.71,2.67,15.04,55.98,0
11.13,14.06,6.29,0.18,11.71,12.89,206.49,147.52,13.57,16.13,0.21,0.26,1.26,60.94,20.88,78.44,7.09,0.0,28.18,76.12,6.61,8.27,3.05,0.22,8.08,8.98,167.9,111.85,15.31,13.97,0.2,0.25,1.25,76.27,20.08,65.77,5.27,0.0,32.13,92.96,0
-106.14,28.43,-749.33,0.21,0.21,0.21,2576.9,0.0,12028.8,0.0,4.73,-1.27,-0.27,-106.14,473.28,-22.43,,0.0,0.0,0.0,66.53,99.51,88.23,2.69,2.69,2.69,482.76,0.0,158.23,0.0,33.15,49.58,1.5,67.18,33.15,200.7,6.22,0.0,0.85,0.95,0
-617.27,856.28,,0.62,0.62,0.62,,,,,1.72,-2.39,-1.39,-173.09,172.09,-358.69,,0.0,,-319.02,90.43,112.24,48.29,5.12,5.6,5.6,194.4,16.44,34.32,,0.19,0.24,1.24,132.26,19.43,465.37,,0.0,22.34,28.8,0
