ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
0.24,3.03,0.14,0.12,0.51,0.7,216.84,71.35,183.67,35.69,0.92,11.78,12.78,37.17,92.18,8.71,0.33,2.38,22.0,119.23,0
6.31,7.09,6.79,6.87,8.76,9.53,391.56,63.57,33.63,26.16,0.11,0.12,1.12,40.34,11.07,102.82,5.27,0.0,36.6,71.73,0
11.16,46.16,6.84,0.07,0.87,1.14,223.09,115.2,144.46,40.0,0.75,3.11,4.14,36.13,75.82,22.66,1.28,0.0,15.3,53.22,0
-4.89,-1357.65,-3.31,0.04,0.23,0.23,246.26,2.85,242.34,,1.0,276.42,277.42,-0.13,99.64,7.25,0.0,0.0,3.22,34.44,0
14.59,16.52,9.47,4.25,7.35,7.37,236.28,84.55,27.27,0.39,0.12,0.13,1.13,15.46,11.67,143.25,6.48,0.0,0.56,3.72,0
14.15,80.13,6.45,0.03,0.85,1.02,166.01,96.51,92.32,20.51,0.82,4.66,5.66,34.97,82.34,27.41,1.04,17.3,9.5,36.82,0
0.94,2.38,0.82,0.01,1.04,1.23,316.45,167.0,134.83,34.32,0.6,1.52,2.52,13.14,60.33,6.58,1.44,14.52,10.61,69.29,0
38.48,100.0,3.11,0.04,1.63,1.63,29.44,28.47,17.91,,0.62,1.6,2.6,251.45,61.52,62.55,,0.0,17.22,84.7,0
6.48,17.2,6.93,0.81,1.44,2.28,389.41,23.26,36.91,31.32,0.62,1.65,2.65,40.42,62.31,20.78,1.15,49.93,36.31,65.51,0
2.0,2.71,2.32,0.06,2.1,2.8,423.22,217.28,106.59,75.33,0.26,0.36,1.36,15.13,26.41,15.7,2.61,0.0,15.27,69.86,0
-1.21,-4.72,-1.65,0.0,0.3,0.41,496.04,108.12,355.87,39.92,0.74,2.9,3.9,8.01,74.33,9.14,0.37,0.0,12.57,54.57,0
2.65,-93.8,5.65,0.05,0.21,0.32,776.36,127.31,789.2,84.88,1.03,-36.42,-35.42,8.82,102.82,9.95,-0.04,0.0,13.17,36.72,0
10.28,86.08,6.39,0.01,0.57,0.8,226.44,70.34,106.91,29.95,0.88,7.34,8.37,29.21,88.06,21.68,0.74,9.2,11.78,44.55,0
29.18,33.5,107.55,0.38,3.04,3.04,1341.5,238.4,89.79,,0.13,0.15,1.15,30.86,12.89,250.39,1.17,0.0,6.17,22.49,0
14.49,16.9,11.48,1.31,3.75,4.18,288.32,64.4,27.05,11.8,0.14,0.17,1.17,40.7,14.25,152.58,1.42,0.0,20.76,45.8,0
6.18,14.78,3.72,1.03,1.16,1.45,219.0,15.54,114.34,33.03,0.6,1.43,2.39,98.66,58.22,21.58,1.86,0.0,55.65,84.83,0
-0.87,-5.72,-0.61,0.77,0.92,1.2,254.62,22.43,148.43,41.87,0.85,5.61,6.61,1.71,84.87,14.33,0.54,0.0,1.8,15.18,0
-0.95,-12.89,-1.57,0.11,0.8,2.19,600.82,105.17,152.84,215.14,0.93,12.56,13.56,12.17,92.63,4.51,0.32,0.0,21.65,69.65,0
-9.43,-29.03,-6.24,0.24,1.62,1.62,240.92,182.22,132.35,,0.68,2.08,3.08,6.51,67.52,-9.97,9.44,0.0,7.61,113.35,0
1.34,2.56,0.97,0.05,0.45,1.88,262.15,32.4,75.34,119.6,0.47,0.9,1.9,58.05,47.41,22.18,1.64,2.67,40.84,95.69,0
14.99,20.1,13.79,1.01,2.51,2.77,334.76,113.37,76.85,20.48,0.25,0.34,1.34,28.01,25.41,61.07,2.1,0.0,11.97,52.05,0
1.85,28.64,17.62,3.18,5.24,6.79,3469.28,842.53,409.62,644.55,0.94,14.49,15.49,2.93,93.54,1.98,4.67,0.0,10.29,35.74,0
18.55,20.24,100.52,12.41,12.41,12.41,1972.9,,157.25,,0.08,0.09,1.09,18.55,8.36,221.86,,0.0,0.0,0.0,0
14.68,17.2,,7.68,7.68,7.68,,,,,0.15,0.17,1.17,14.68,14.61,100.49,,0.0,,0.0,0
2.84,28.94,0.91,0.04,0.84,0.84,116.61,76.01,95.7,,0.9,9.19,10.19,235.33,90.19,7.69,0.37,0.0,74.48,95.52,0
7.13,85.52,1.1,0.23,0.64,0.76,56.13,11.15,27.22,3.41,0.92,10.98,11.99,459.93,91.66,28.38,0.54,0.0,69.82,92.39,0
6.53,8.21,3.82,1.3,3.77,4.61,213.28,78.28,21.03,26.89,0.21,0.26,1.26,25.86,20.53,54.57,2.76,10.26,11.33,158.7,0
24.81,101.15,21.43,0.57,0.63,1.28,314.41,16.01,234.68,150.36,0.75,3.08,4.08,50.42,75.47,32.87,3.1,0.0,16.56,33.33,0
