ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
3.71,9.02,4.47,0.01,0.44,0.7,438.12,68.16,52.07,42.03,0.59,1.43,2.43,10.6,58.81,11.43,0.85,42.12,8.29,37.99,2.93,7.06,3.38,0.01,0.7,1.36,420.06,61.96,67.68,59.63,0.58,1.41,2.41,10.74,58.47,10.14,1.11,37.74,6.37,35.39,0
11.25,54.89,7.38,0.56,0.83,0.83,238.76,9.5,187.75,,0.8,3.88,4.88,11.25,79.51,19.27,0.63,0.0,0.0,0.0,16.78,61.16,8.06,0.49,0.75,0.8,174.87,9.57,125.5,5.6,0.73,2.64,3.64,16.78,72.56,35.93,0.65,0.0,0.0,0.0,0
31.72,69.0,13.66,1.03,1.9,1.9,153.75,70.78,81.71,,0.54,1.18,2.18,60.46,54.03,58.72,,0.0,12.38,40.19,19.8,32.02,,1.22,2.63,2.63,113.37,57.24,40.71,,0.38,0.62,1.62,67.33,38.17,53.27,13.6,0.0,10.28,43.63,0
-5.63,-6.51,-3.75,3.67,6.81,6.81,242.36,78.66,25.1,,0.14,0.16,1.16,115.95,13.59,79.96,3.08,0.0,80.95,96.44,-92.43,-136.09,-44.92,0.89,2.44,2.44,176.91,87.46,56.09,,0.32,0.47,1.47,118.01,32.08,-193.05,3.14,0.0,102.28,129.15,0
1.07,4.34,0.21,0.34,1.34,1.34,71.32,52.41,52.55,,0.75,3.05,4.05,399.92,75.32,1.42,,0.0,78.14,107.54,17.17,48.92,5.75,0.22,1.61,1.61,121.8,104.31,75.0,,0.65,1.85,2.85,234.88,64.89,26.47,,0.0,72.85,109.81,0
3.4,8.68,1.47,0.41,1.89,2.06,156.81,69.74,47.03,7.95,0.61,1.55,2.55,52.72,60.83,20.08,1.74,0.0,21.25,79.58,17.52,36.7,8.16,0.74,2.0,2.08,169.52,75.7,60.55,5.13,0.52,1.09,2.09,58.22,52.26,57.93,2.55,0.0,13.74,36.18,0
1.85,6.86,1.53,0.04,0.21,0.86,301.82,15.62,77.21,60.14,0.73,2.71,3.71,34.0,73.04,14.26,0.88,23.68,26.66,76.19,2.07,6.98,1.28,0.16,0.33,0.84,224.6,12.23,62.06,37.97,0.7,2.38,3.38,48.23,70.4,12.22,0.88,17.99,20.11,57.49,0
29.11,50.23,9.36,0.01,1.3,1.85,117.06,50.09,40.45,22.75,0.42,0.73,1.73,69.55,42.05,76.67,2.84,0.0,13.01,49.27,26.45,69.71,9.3,0.0,0.9,1.19,127.96,62.31,71.14,20.18,62.06,163.55,2.64,66.59,62.06,46.9,1.75,0.0,9.97,35.26,0
4.16,7.52,2.53,0.44,0.62,1.09,220.7,17.23,66.49,43.95,0.45,0.81,1.81,35.29,44.61,28.31,1.06,12.31,13.27,46.28,0.68,1.32,0.39,0.49,0.68,1.05,208.94,13.76,60.43,27.26,0.49,0.95,1.95,41.05,48.61,26.45,1.02,6.44,16.51,50.84,0
-0.72,-1.14,-0.44,0.98,2.28,2.67,224.64,94.01,75.09,29.8,0.37,0.59,1.59,17.03,37.02,6.15,6.79,0.0,10.95,76.69,17.66,23.53,,1.2,3.53,4.16,268.51,125.29,55.03,34.96,0.25,0.33,1.33,38.03,24.93,79.27,5.6,0.0,10.57,31.82,0
2.6,12.69,0.9,0.04,0.86,1.01,125.99,80.6,81.5,14.88,0.8,3.89,4.89,33.29,79.55,12.84,1.04,14.11,7.9,50.91,-29.89,-1274.32,-6.59,0.07,0.72,0.81,80.3,51.04,53.2,6.5,0.98,41.64,42.64,37.76,97.65,-15.9,0.12,30.52,10.83,70.68,0
14.72,18.62,14.49,3.4,4.46,4.46,358.27,74.1,70.12,,0.2,0.26,1.27,27.36,20.96,71.89,6.73,0.0,12.44,37.09,-11.73,-13.55,-20332.0,6.6,6.61,6.61,630680.96,590.4,8553.6,,0.13,0.15,1.15,-6.06,13.41,-87.53,5.91,11.53,9828.0,-74.89,0
0.0,0.01,0.0,0.04,0.52,0.52,227.57,90.28,131.11,,0.88,7.29,8.29,36.08,87.94,3.99,0.24,26.34,22.56,68.4,-114.06,121.26,-49.89,0.01,0.06,0.09,159.22,16.22,234.64,9.28,194.06,-206.31,-1.06,-56.32,194.06,-54.36,-1.12,41.6,17.7,-185.65,0
-8.78,-65.48,-13.26,0.0,0.21,1.14,549.77,97.12,470.84,443.19,0.87,6.46,7.46,-1.4,86.6,-8.89,8.1,0.0,11.14,7124.34,0.14,1.1,0.19,0.02,0.14,1.14,478.65,46.75,411.45,413.62,0.87,6.64,7.64,6.37,86.92,1.28,20.85,0.0,6.06,59.21,0
2.6,12.96,1.71,0.02,0.81,0.91,238.48,110.62,119.62,14.93,0.78,3.91,4.98,10.08,78.5,7.31,0.7,21.27,3.53,33.83,3.83,19.9,2.66,0.03,0.85,0.9,252.13,129.52,132.85,9.46,0.8,4.15,5.19,10.55,79.94,8.46,0.69,21.19,3.36,31.82,0
22.55,-471.1,10.19,0.24,0.56,1.86,164.5,12.96,51.57,68.08,1.0,-20.88,-20.89,46.7,104.79,41.76,1.56,0.0,10.91,25.57,20.45,131.25,10.55,0.05,0.57,1.23,187.75,16.66,39.78,26.19,0.84,5.42,6.42,49.72,84.42,47.93,1.07,0.0,10.98,26.33,0
14.94,39.05,12.15,0.19,0.37,1.22,295.95,31.2,149.13,154.99,0.62,1.61,2.61,21.03,61.73,24.21,1.57,10.78,4.95,21.19,14.21,28.5,13.61,0.06,0.4,1.7,348.66,58.05,138.92,225.35,0.5,1.01,2.01,22.13,50.14,28.34,3.42,9.85,7.59,29.44,0
5.28,8.08,3.9,271.12,271.12,271.12,135.32,,0.98,,0.35,0.53,1.53,33.11,34.68,15.21,,0.0,20.58,84.09,18.59,27.12,9.36,0.8,9.08,9.08,183.38,78.64,9.49,,0.31,0.46,1.46,79.14,31.47,59.07,1.81,0.0,30.5,71.3,0
-3.35,-3.35,,,,,,,,,,,1.0,-3.35,0.0,,,0.0,,0.0,25.93,27.93,,9.99,13.96,13.96,1096.7,308.55,77.7,,7.16,7.72,1.08,25.93,7.16,361.97,,0.0,0.0,0.0,0
