ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.47,1.1,1.05,0.07,0.23,0.52,817.07,69.05,419.7,132.51,0.58,1.36,2.36,5.57,57.56,10.59,0.62,5.11,11.43,37.78,0.31,0.77,0.79,0.06,0.22,0.64,935.7,91.19,546.76,229.18,0.6,1.5,2.5,5.28,59.93,8.69,0.65,0.73,12.78,43.62,0
6.44,20.32,6.21,0.8,0.95,1.03,352.23,32.87,214.12,15.48,0.68,2.16,3.16,12.92,68.31,14.46,1.07,6.56,6.25,29.41,0.96,2.6,0.67,0.11,1.02,1.13,255.3,117.7,128.32,13.44,0.63,1.71,2.71,9.3,63.12,23.95,1.15,0.0,5.85,30.45,0
0.29,1.03,0.06,0.0,0.57,1.14,74.57,27.56,42.59,27.65,0.72,2.58,3.58,9.42,72.03,32.39,1.36,7.75,1.87,30.91,-5.06,-25.08,-1.61,0.05,0.49,0.51,115.58,40.87,46.32,1.56,0.8,3.95,4.95,0.67,79.82,14.98,0.34,39.18,1.34,42.14,0
4.1,20.68,1.81,0.14,0.53,0.87,160.88,49.08,119.45,42.38,0.8,4.04,5.04,58.06,80.15,15.67,0.64,3.14,23.78,77.75,2.51,13.58,1.41,0.12,0.67,0.67,204.23,41.2,75.55,0.38,0.82,4.41,5.41,12.93,81.52,29.45,0.85,44.11,5.85,24.28,0
0.03,1.35,0.02,0.2,0.61,1.04,231.85,90.93,156.48,94.82,0.98,51.11,52.11,30.91,98.08,0.03,,27.19,19.62,98.89,0.06,3.35,0.03,0.4,1.11,1.59,216.65,95.58,59.25,64.96,0.98,58.65,59.65,26.85,98.32,0.06,,34.65,15.95,86.75,0
6.84,11.12,4.05,0.41,1.35,2.42,215.89,72.85,76.53,83.18,0.38,0.62,1.62,41.47,38.46,25.36,4.95,0.17,20.48,72.17,-0.9,-2.16,-0.59,0.17,0.92,1.5,241.43,102.32,135.04,79.14,0.59,1.41,2.41,26.5,58.55,2.9,2.82,0.1,18.17,87.02,0
21.68,47.7,8.79,1.65,2.48,2.52,147.94,44.57,53.42,1.76,0.55,1.2,2.2,44.98,54.55,47.81,7.84,16.41,9.44,33.76,3.21,6.38,1.48,1.29,1.88,2.05,168.13,40.96,69.46,11.65,0.5,0.98,1.98,32.74,49.58,20.96,3.96,5.91,13.64,66.42,0
2.59,7.32,1.22,0.53,1.46,1.49,171.66,90.33,63.21,3.03,0.65,1.82,2.82,22.82,64.56,17.97,2.93,20.05,9.51,65.32,2.93,16.23,2.4,0.19,0.98,0.99,298.81,122.37,119.94,2.25,0.82,4.54,5.54,8.63,81.96,8.14,0.99,29.99,4.68,35.41,0
2.74,3.73,8.61,13.96,16.04,16.05,1145.85,25.1,12.02,0.04,0.17,0.23,1.36,2.75,26.57,86.56,1.08,15.67,0.02,0.04,0.67,0.87,1.8,5.47,6.72,6.73,977.09,39.59,31.6,0.04,0.14,0.18,1.29,0.67,22.65,92.48,1.13,10.63,0.0,0.0,0
7.71,12.03,7.63,1.28,4.29,4.46,361.42,237.94,78.97,13.53,0.36,0.56,1.56,58.31,35.95,21.77,92.58,0.03,50.11,78.81,25.85,64.25,20.37,3.3,4.54,4.75,286.88,72.04,58.26,12.55,0.6,1.49,2.49,74.57,59.76,43.53,29.46,0.0,38.4,59.43,0
-0.56,-1.55,-0.98,0.09,0.2,0.26,633.24,42.09,377.09,21.81,0.63,1.75,2.75,11.6,63.66,0.46,0.47,2.98,21.1,70.31,-0.11,-0.27,-0.32,0.18,0.23,0.28,1023.47,24.36,547.95,27.6,0.58,1.38,2.38,11.02,58.06,0.09,0.54,3.67,31.32,108.72,0
2.53,2.96,2.33,2.08,5.22,5.6,335.4,129.04,41.36,16.24,0.14,0.17,1.17,28.94,14.41,48.95,2.91,0.0,24.27,68.45,8.49,9.8,7.91,2.66,6.08,6.57,338.92,127.02,37.25,18.3,0.13,0.15,1.15,35.18,13.32,94.32,3.27,0.0,24.85,59.55,0
0.39,0.99,0.3,0.22,0.64,1.13,280.52,69.65,162.37,79.62,0.59,1.5,2.54,25.03,60.57,11.89,1.19,0.0,18.94,75.83,0.52,1.41,0.37,0.19,0.73,1.22,254.57,85.04,156.55,77.06,0.63,1.69,2.69,24.13,62.77,14.57,1.58,0.0,16.51,68.44,0
9.1,49.51,123.87,0.25,0.7,0.94,4969.49,1666.51,3893.76,937.88,0.82,4.44,5.44,14.15,81.62,18.6,0.81,0.0,68.74,-1.58,6.71,48.29,431.35,0.02,0.55,0.73,23399.21,10749.47,20118.04,3645.95,0.86,6.2,7.2,10.57,86.1,18.35,0.39,0.0,247.96,-1.33,0
-2.75,-12.81,-2.0,0.31,1.0,1.09,266.16,132.86,192.93,16.98,0.79,3.66,4.66,3.85,78.55,17.12,1.36,0.0,4.81,27.75,33.56,59.57,23.44,0.82,1.97,2.19,254.27,118.33,103.6,22.94,0.44,0.77,1.77,41.18,43.66,102.05,6.06,0.0,5.32,16.14,0
