ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-5.93,-59.87,,0.0,0.0,0.13,,,,,0.9,9.1,10.1,-5.93,90.1,-6.58,0.13,0.0,,0.0,-4.96,-100.84,,0.0,0.0,0.13,,,,,0.95,19.32,20.32,-4.96,95.08,-5.22,0.07,0.0,,0.0,0
1.0,43.92,0.77,-0.08,0.46,0.92,281.94,142.72,260.14,119.67,0.98,43.08,44.08,12.17,97.73,6.8,0.46,3.3,8.65,60.95,1.2,4.88,0.72,-0.14,0.79,1.25,217.95,140.62,150.12,69.89,0.75,3.07,4.07,13.74,75.42,8.61,2.37,5.25,7.51,65.96,0
-4.18,-5.9,-24.11,0.26,0.35,0.35,2100.28,49.86,34.61,0.6,0.27,0.38,1.41,5.93,29.21,-7.92,0.79,24.41,58.33,86.06,0.32,0.43,2.03,0.21,0.32,0.32,2337.12,60.02,21.18,0.53,0.24,0.33,1.35,4.88,25.79,10.63,0.81,22.39,29.32,50.79,0
0.87,2.81,0.36,-1.04,-0.7,-0.7,152.26,26.86,78.45,,0.69,2.24,3.24,44.25,69.17,16.52,0.76,16.71,18.15,67.18,0.47,0.68,0.06,-4.49,-3.95,-3.95,43.36,7.01,12.99,,0.31,0.45,1.45,82.01,31.0,52.84,0.32,0.0,9.71,64.15,0
-23.93,-45.46,-17.47,0.25,1.4,1.45,265.72,135.38,124.42,6.42,0.47,0.9,1.9,-21.79,47.36,-30.33,1.7,0.0,1.56,-24.54,17.33,23.76,13.68,0.6,2.53,2.97,287.29,139.23,65.08,34.33,0.27,0.37,1.37,18.6,27.07,87.5,3.78,4.12,1.0,5.89,0
1.32,24.24,0.45,0.28,1.12,1.17,124.6,78.71,90.26,4.49,0.88,16.1,18.39,6.56,94.56,2.59,6.04,5.38,1.79,58.08,1.25,12.97,0.29,0.08,1.38,1.43,86.03,72.4,57.22,2.92,0.9,9.41,10.41,9.88,90.4,3.21,7.6,0.0,2.04,69.24,0
-66.61,-71.5,-26.97,14.63,14.63,14.63,147.37,,9.97,,0.07,0.07,1.07,-66.61,6.84,-974.3,,0.0,0.0,0.0,-1.38,-2.64,-0.18,1.69,2.12,2.12,46.28,9.37,21.55,,0.48,0.92,1.92,-1.38,47.85,27.81,,0.0,0.0,0.0,0
47.63,105.83,19.17,0.24,0.56,0.56,146.51,,79.63,,0.55,1.22,2.22,300.43,54.99,97.48,0.65,0.0,101.75,130.96,-11.51,-49.87,-9.28,0.55,0.67,0.67,293.53,,223.13,,0.77,3.33,4.33,94.94,76.92,-8.99,0.48,0.0,85.84,161.76,0
-18.37,-28.86,-5.66,2.15,3.16,3.16,112.15,35.54,35.14,,,,1.57,50.7,0.0,,,0.0,21.28,96.31,37.03,58.46,5.32,1.78,3.11,3.11,52.25,22.1,16.62,0.0,0.37,0.58,1.58,109.88,36.67,100.98,,0.0,10.46,56.32,0
37.11,92.35,31.61,0.01,0.62,1.36,310.1,93.89,150.23,113.99,0.6,1.49,2.49,50.53,59.82,76.83,1.49,1.57,11.43,19.52,4.58,11.89,4.43,0.09,0.67,1.27,352.24,106.21,185.3,113.61,0.61,1.59,2.59,16.95,61.46,15.85,1.29,0.0,11.97,49.26,0
40.62,96.45,18.49,1.73,1.89,1.89,165.72,12.88,78.3,0.02,0.58,1.37,2.37,49.11,57.89,75.84,4.5,0.0,3.86,13.85,16.13,74.1,9.62,0.46,1.69,1.69,217.09,105.0,85.25,0.14,0.78,3.59,4.59,43.61,78.23,40.42,0.7,0.0,16.39,42.7,0
-1.23,-5.5,-36.4,1.18,1.32,1.32,10759.11,191.52,4297.68,,0.78,3.47,4.47,-1.23,77.62,1.95,1.28,0.0,0.0,0.0,-16.24,-173.76,-43.1,0.88,1.05,1.05,966.28,33.12,594.26,,0.91,9.7,10.7,-16.24,90.66,2.85,1.1,0.0,0.0,0.0,0
42.12,-1148.33,15.56,0.73,0.89,0.89,134.45,22.44,136.61,0.0,1.03,-28.08,-27.26,64.84,103.67,42.83,-0.43,0.0,8.39,33.46,16.79,115.97,7.68,1.04,1.19,1.19,166.47,20.45,137.9,0.0,0.85,5.88,6.91,32.66,85.53,19.72,,0.0,7.26,31.05,0
9.75,10.76,11.73,5.08,7.77,7.86,437.86,102.5,38.02,3.6,0.09,0.1,1.1,35.04,9.37,162.84,2.94,0.0,30.42,58.57,2.48,2.65,4.23,10.76,13.11,13.3,621.76,76.03,32.34,6.24,0.06,0.07,1.07,25.36,6.47,106.76,3.13,0.0,39.08,79.82,0
0.13,0.64,0.07,0.23,1.71,1.71,196.14,141.08,110.09,0.27,0.72,3.43,4.74,11.12,78.9,2.88,26.52,0.0,5.92,67.16,0.07,0.43,0.03,0.08,1.45,1.45,169.58,128.59,107.79,0.14,0.85,5.55,6.55,13.16,84.74,0.98,26.15,3.46,6.1,84.52,0
27.13,47.71,16.03,0.79,1.36,1.45,215.09,48.51,85.25,8.06,0.43,0.76,1.76,59.0,43.14,75.57,1.42,0.0,18.83,43.14,36.8,53.84,13.84,1.0,2.02,2.05,136.91,39.38,38.41,0.82,0.32,0.46,1.46,81.06,31.64,132.05,1.79,0.0,16.65,45.49,0
1.35,3.96,0.35,0.0,0.69,0.75,93.85,39.32,55.37,3.6,0.66,1.94,2.94,36.96,65.95,8.69,0.68,2.18,9.18,89.82,1.68,5.29,0.6,0.0,0.84,0.84,130.58,69.3,74.22,0.11,0.68,2.15,3.15,30.39,68.29,7.75,0.74,7.02,10.3,71.93,0
1.89,3.13,1.79,0.35,0.76,1.14,344.91,54.92,76.42,52.14,0.4,0.66,1.66,12.74,39.58,4.77,1.1,17.17,10.28,73.21,0.59,1.17,0.72,0.08,0.26,1.05,441.28,37.71,64.73,173.2,0.49,0.97,1.97,8.99,49.35,1.2,1.05,34.5,10.19,-176.2,0
1.38,32.87,0.31,0.06,0.92,1.02,80.57,63.18,73.7,7.94,0.96,22.85,23.85,81.25,95.81,4.27,0.94,0.0,17.68,89.13,2.04,50.0,0.79,0.0,0.86,0.94,141.42,113.49,116.36,10.97,0.96,23.49,24.49,47.75,95.92,4.16,0.44,11.12,17.76,64.18,0
-20.03,-71.62,-17.58,0.05,0.09,1.34,319.39,8.28,174.11,233.04,0.72,2.57,3.57,-14.73,72.03,-16.45,1.89,3.38,4.65,-128.47,-25.06,-125.6,-11.74,0.0,0.95,1.19,170.55,111.58,104.91,28.8,0.8,4.01,5.01,-19.06,80.05,-18.76,1.78,7.55,2.81,-101.92,0
-3.0,-3.03,,120.54,128.95,128.95,,,,,0.01,0.01,1.01,-3.0,0.78,-387.33,,0.0,,0.0,-2.16,-2.18,,78.94,78.94,78.94,,,,,0.01,0.01,1.01,-2.16,1.27,-170.12,,0.0,,0.0,0
2.92,19.04,2.14,0.14,0.45,0.81,266.32,70.76,222.93,80.76,0.85,5.51,6.51,32.75,84.64,15.28,0.49,0.0,21.82,66.66,1.33,8.25,0.88,0.56,0.69,0.93,239.09,26.46,197.74,48.78,0.84,5.18,6.18,34.72,83.83,12.94,0.75,0.0,21.93,76.33,0
-140.42,75.85,-53.95,0.35,0.35,0.35,139.85,0.0,394.37,0.0,2.85,-1.54,-0.54,-140.42,285.13,-49.25,,0.0,0.0,0.0,10.21,-5.54,,0.35,0.35,0.35,,,,,2.84,-1.54,-0.54,10.21,284.33,3.59,,0.0,,0.0,0
3.8,78.19,1.72,0.7,0.87,1.19,164.92,21.65,125.87,39.95,0.83,17.05,20.58,16.53,95.14,8.22,1.31,0.0,5.77,56.24,22.96,66.98,1.97,0.14,1.44,1.46,31.22,23.99,18.47,0.46,0.66,1.92,2.92,51.91,65.73,45.6,3.43,0.0,2.48,45.29,0
0.18,0.34,0.82,0.26,1.3,2.13,1669.62,803.15,774.47,653.49,0.47,0.88,1.88,0.18,46.9,0.38,,0.0,0.0,0.0,18.51,31.86,34.28,0.44,1.4,2.39,673.99,269.61,279.25,278.05,0.42,0.72,1.72,18.51,41.89,44.19,,0.0,0.0,0.0,0
