ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-139.96,-131.91,-39.15,-14.85,-16.39,-16.39,86.16,9.42,-6.15,,-0.06,-0.06,0.94,-66.98,-6.1,2293.55,,0.0,20.42,-134.7,-17.81,-17.81,-72.93,,,,1490.2,,,,,,1.0,-16.17,0.0,,,0.0,6.71,-9.71,0
0.0,,0.0,0.25,0.41,0.96,127.72,20.27,126.26,71.44,1.0,,,17.02,100.0,3.02,0.01,0.0,5.97,40.9,0.0,,0.0,0.18,0.38,0.99,129.8,25.38,128.35,79.72,1.0,,,17.7,100.0,3.09,0.07,0.0,6.31,39.42,0
0.28,7.22,0.14,0.22,0.77,1.1,187.66,92.65,168.01,56.74,0.96,25.03,26.03,27.8,96.16,0.29,,0.0,14.19,98.45,0.01,0.35,0.0,0.29,0.76,1.08,114.62,49.44,105.34,33.67,0.96,24.5,25.5,39.61,96.08,0.69,,0.0,12.47,100.4,0
28.91,94.77,9.6,0.46,1.08,1.38,120.82,49.59,80.57,24.59,0.69,2.28,3.28,60.78,69.5,53.7,5.13,0.0,10.58,41.7,33.93,94.48,9.25,0.19,0.96,1.56,99.26,44.01,57.71,35.2,0.64,1.78,2.78,83.26,64.09,64.57,5.43,0.0,13.45,48.35,0
17.38,78.25,4.49,0.52,0.65,1.35,93.97,8.79,67.9,47.99,0.78,3.5,4.5,72.02,77.8,28.11,17.84,0.0,14.11,69.03,5.26,26.76,1.85,0.26,0.47,1.37,128.26,14.64,71.12,65.37,0.8,4.09,5.09,39.34,80.36,17.15,1.81,20.64,12.01,63.24,0
30.54,79.29,20.54,0.43,1.56,1.56,108.27,134.7,120.16,0.0,0.61,1.6,2.6,38.78,61.49,50.73,2.2,0.0,5.54,17.09,46.33,90.05,12.67,1.28,2.21,2.21,99.52,28.91,31.16,,0.49,0.94,1.94,88.51,48.56,112.87,2.26,0.0,11.53,37.98,0
0.81,24.28,1.21,0.18,0.57,1.21,543.52,82.32,283.98,182.24,0.97,29.02,30.02,8.42,96.67,1.79,1.36,33.71,11.36,73.76,2.39,53.9,0.64,0.17,0.52,1.01,98.06,22.51,75.53,37.76,0.96,21.56,22.56,30.79,95.57,5.13,1.03,16.38,7.65,80.41,0
-44.68,66.34,-17.27,0.12,0.84,0.84,140.66,108.54,149.37,0.0,1.67,-2.48,-1.48,-18.22,167.35,-16.67,-6.24,0.0,10.22,12694.41,29.41,-33.9,7.43,0.21,0.73,0.73,91.91,55.97,108.78,,1.87,-2.15,-1.15,59.64,186.77,17.59,-6.51,0.0,7.63,50.76,0
-11.06,205.38,-209.29,0.05,0.1,0.14,6888.34,122.37,2310.54,72.99,1.05,-19.57,-18.57,-8.57,105.38,-10.49,0.69,0.0,47.03,-29.81,-8.75,64.43,-85.69,0.03,0.08,0.11,3565.09,63.29,1534.89,56.06,1.14,-8.36,-7.36,-4.04,113.58,-7.7,0.59,0.0,46.14,-23.01,0
29.88,39.76,7.29,0.32,3.04,3.93,88.84,59.03,21.68,19.49,0.25,0.33,1.33,46.27,24.83,125.87,38.99,0.0,4.0,29.2,30.69,37.37,8.13,0.64,3.63,4.7,96.45,58.38,19.52,21.08,0.18,0.22,1.22,46.76,17.88,176.33,26.37,0.0,4.26,28.63,0
-1.0,35.92,-0.32,0.47,0.69,0.97,117.69,23.46,118.75,34.25,1.03,-37.03,-36.03,22.68,102.78,-0.02,-4.66,0.0,7.65,90.63,-4.84,67.01,-1.76,0.33,0.73,1.05,132.25,43.68,109.37,36.38,1.07,-14.84,-13.84,17.23,107.23,-4.15,1.39,22.74,8.02,98.91,0
24.41,42.17,6.12,0.94,1.78,2.44,91.32,30.66,36.5,24.13,0.42,0.73,1.73,116.94,42.11,64.78,71.85,0.0,23.21,75.49,53.78,82.97,16.29,1.3,2.35,3.4,110.26,,26.79,28.34,0.35,0.54,1.54,108.94,35.19,154.81,4.66,8.35,16.71,45.02,0
0.54,20.27,0.39,0.08,0.83,0.96,259.68,186.27,247.4,32.07,0.97,36.47,37.52,26.28,97.33,1.26,0.42,0.0,18.36,96.13,1.47,34.16,0.78,0.01,0.65,0.85,191.37,115.25,179.58,36.07,0.96,22.16,23.17,28.65,95.68,2.05,0.26,0.0,14.29,94.17,0
0.14,0.38,0.05,0.11,0.43,0.93,126.52,4.39,49.45,30.31,0.61,1.61,2.61,35.94,61.74,4.46,0.93,14.2,12.44,94.75,-0.75,-1.94,-0.25,0.13,0.46,0.97,120.89,4.35,42.0,26.7,0.61,1.58,2.59,38.23,61.43,3.07,0.95,13.22,12.95,94.68,0
4.42,37.98,6.34,0.12,0.2,1.02,522.34,32.3,396.01,328.74,0.88,7.6,8.6,16.46,88.37,5.0,1.06,0.0,17.28,55.22,-8.33,729.31,-9.77,0.02,0.08,0.81,427.13,26.32,405.89,301.06,1.01,-88.55,-87.55,5.05,101.14,-8.24,0.18,0.0,15.7,102.56,0
4.97,76.17,2.44,0.03,0.83,0.96,178.98,121.06,164.22,22.42,0.93,14.34,15.34,20.54,93.48,9.11,0.6,0.0,7.66,74.39,4.13,37.92,1.55,0.03,0.77,1.01,137.03,83.73,119.85,29.33,0.89,8.18,9.18,23.94,89.11,6.74,1.14,0.0,7.46,73.94,0
-7.99,44.63,-4.45,0.26,0.39,3.0,202.9,7.36,44.06,154.83,1.18,-6.58,-5.58,12.13,117.91,-5.73,5.65,7.21,11.22,109.24,-2.12,10.89,-1.02,0.24,0.5,2.8,175.93,14.66,43.71,127.33,1.19,-6.14,-5.14,17.93,119.45,-0.53,5.63,6.35,9.69,93.97,0
0.12,1.43,0.07,0.01,0.17,0.22,217.15,31.74,196.14,10.14,0.92,11.03,12.03,8.27,91.69,1.36,0.11,0.0,4.87,82.86,0.59,5.81,0.69,0.02,0.17,0.21,431.05,55.41,362.89,14.19,0.9,8.93,9.93,7.04,89.93,6.49,0.18,0.0,7.65,48.77,0
52.4,58.56,82.19,9.5,9.5,9.5,570.97,0.04,59.44,0.0,0.11,0.12,1.12,52.4,10.53,497.82,,0.0,0.0,0.0,-1.5,-1.5,,,,,,,,,,,1.0,-1.5,0.0,,,0.0,,0.0,0
3.52,4.29,2.19,5.72,5.72,6.16,226.67,0.0,36.38,16.26,0.18,0.22,1.22,3.52,17.79,19.81,,0.0,0.0,0.0,2.02,2.14,2.23,8.59,8.81,11.11,401.28,4.7,21.65,50.63,0.06,0.06,1.06,30.08,5.81,34.72,2.41,0.0,30.94,87.45,0
25.69,28.14,5.52,5.64,8.06,11.56,78.17,9.52,6.45,22.89,0.09,0.1,1.1,28.28,8.68,319.31,28.66,0.0,0.55,7.05,33.88,37.68,7.26,5.17,7.42,9.18,78.05,16.76,7.45,13.29,0.1,0.11,1.11,36.64,10.09,383.42,8.56,0.0,0.59,5.68,0
-165.48,25.92,-233.69,0.05,0.06,0.06,514.03,41.16,3395.77,0.0,7.39,-1.16,-0.16,-165.48,738.56,-10.11,-9.55,0.0,0.0,0.0,27.69,-13.19,17.42,0.11,0.31,0.31,228.98,0.0,693.6,0.0,3.1,-1.48,-0.48,27.69,309.87,14.65,-46.72,0.0,0.0,0.0,0
-8.68,-10.6,,5.52,5.52,5.52,,,,,0.18,0.22,1.22,-8.68,18.11,-47.9,,0.0,,0.0,3.55,4.34,68.33,5.51,5.51,5.51,7005.79,,1257.6,,0.18,0.22,1.22,3.55,18.15,19.56,,0.0,0.0,0.0,0
28.44,53.54,24.93,0.02,2.24,2.24,319.01,306.93,138.0,,0.47,0.88,1.88,30.13,46.88,60.67,29.82,0.0,1.48,4.58,15.07,27.85,19.51,0.01,3.5,3.51,471.28,457.36,131.06,0.44,0.46,0.85,1.85,16.31,45.89,32.84,51.91,0.0,1.6,6.75,0
-67.98,-130.41,-122.83,0.88,0.88,2.14,612.52,0.0,303.59,389.87,0.48,0.92,1.92,-67.98,47.87,-142.0,,0.0,0.0,0.0,-14.54,-33.54,,0.6,0.61,1.77,,,,,0.57,1.31,2.31,-14.54,56.64,-25.67,,0.0,,0.0,0
-1.3,-1.33,,46.41,48.94,48.94,,,,,0.02,0.02,1.02,-1.3,2.04,-63.64,,0.0,,0.0,-6.0,-6.27,,22.29,23.56,23.56,,,,,0.04,0.04,1.04,-6.0,4.25,-141.41,,0.0,,0.0,0
36.53,85.62,28.2,3.84,4.04,4.04,190.64,13.12,67.17,,0.24,0.57,2.34,41.75,57.33,151.03,,0.0,4.03,12.35,18.47,66.06,28.14,1.3,1.41,1.41,554.6,41.22,96.27,,0.69,2.46,3.58,21.93,72.04,28.2,9.71,51.33,5.27,11.11,0
-138.41,1253.45,-59.38,0.39,0.83,0.83,156.16,74.89,170.1,,1.11,-10.06,-9.06,-84.11,111.04,-112.47,-1.26,0.0,23.3,-79.86,-152.48,85.51,-21.66,0.27,0.39,0.39,51.71,15.29,132.22,,2.78,-1.56,-0.56,-6.12,278.32,-49.69,,0.0,20.79,724.19,0
62.05,88.85,15.26,0.26,0.74,2.22,89.5,12.34,25.26,37.71,0.3,0.42,1.43,85.31,30.16,215.87,1.93,0.0,5.72,22.62,41.75,53.67,11.58,-0.27,0.17,2.25,100.98,8.63,19.61,41.23,0.2,0.26,1.29,67.58,22.22,215.32,1.48,0.0,7.17,31.79,0
10.71,17.52,9.07,1.49,2.13,2.29,308.27,74.26,116.81,19.27,0.39,0.64,1.64,21.85,38.87,30.84,5.25,0.0,9.44,43.6,7.97,9.63,8.95,2.67,4.84,5.21,408.94,144.73,66.61,24.71,0.17,0.21,1.21,20.18,17.23,55.2,6.24,0.0,13.72,52.73,0
0.4,1.85,0.21,0.15,0.48,0.65,188.27,46.17,141.76,25.62,0.78,3.57,4.6,39.24,78.25,7.71,0.46,0.0,20.09,84.22,0.27,1.23,0.22,0.15,0.43,0.74,298.86,62.76,222.79,68.83,0.77,3.48,4.52,29.97,77.87,7.36,0.52,0.0,24.38,79.83,0
1.12,-9.05,1.68,0.03,0.14,0.76,544.97,68.28,602.26,379.46,1.12,-9.05,-8.05,13.2,112.42,5.05,-0.83,0.0,18.09,61.1,7.27,-114.67,6.87,0.09,0.27,0.84,344.05,65.32,360.77,211.32,1.06,-16.77,-15.77,25.33,106.34,12.28,-0.59,0.0,17.07,54.94,0
-130.63,339.19,-43.37,0.07,0.07,0.1,120.85,0.0,109.54,3.8,1.38,-3.59,-2.6,-120.41,138.51,2.29,0.11,0.0,3.39,826.09,-475.72,61.76,-20.51,0.04,0.04,0.07,15.69,,134.29,3.5,8.68,-1.13,-0.13,-397.74,870.27,13.95,,0.0,3.36,17.84,0
-7.09,-8.38,-3.87,1.78,1.86,3.23,198.42,1.71,19.89,27.6,0.15,0.18,1.18,13.33,15.32,2.28,1.34,0.0,11.13,94.71,-13.76,-15.87,-8.79,1.56,1.61,2.79,232.66,1.15,23.73,28.37,0.13,0.15,1.15,6.34,13.34,-40.44,1.27,0.0,12.84,129.53,0
2.2,10.43,1.46,2.46,3.79,5.21,240.74,49.12,37.01,53.3,0.79,3.74,4.74,9.06,78.89,10.67,4.57,0.0,4.54,38.35,6.06,27.25,3.28,4.2,5.49,7.0,197.14,31.93,24.77,37.89,0.78,3.49,4.49,12.06,77.75,14.51,8.22,0.0,3.25,32.84,0
-3.42,-5.41,-1.41,0.96,0.99,2.44,150.26,1.67,53.38,78.17,0.37,0.58,1.58,32.79,36.76,3.92,5.45,0.0,14.95,92.24,2.21,3.38,0.56,0.78,0.8,2.75,91.8,0.56,30.27,59.79,0.35,0.53,1.53,47.32,34.63,20.3,8.63,0.0,11.38,78.1,0
59.75,45.05,12.14,-2.45,-2.45,-3.07,60.32,,-23.85,14.94,-0.33,-0.25,0.75,59.75,-32.61,-183.2,,0.0,0.0,0.0,40.42,45.28,24.57,9.32,9.32,9.32,221.27,,23.47,,0.11,0.12,1.12,80.67,10.73,376.83,,0.0,24.47,44.42,0
4.08,5.73,2.9,2.29,3.47,3.47,179.96,86.93,73.88,,0.29,0.41,1.41,4.08,28.85,14.13,,0.0,0.0,0.0,2.93,3.21,1.61,10.18,11.5,11.5,199.42,22.64,17.15,,0.09,0.1,1.1,2.93,8.7,33.72,,0.0,0.0,0.0,0
-8.45,-37.33,-3.16,0.21,0.79,1.2,136.31,49.12,92.35,42.15,0.77,3.42,4.42,21.34,77.37,-5.55,2.7,6.37,11.16,69.24,8.3,29.15,2.44,0.19,1.0,1.34,107.09,56.94,69.66,24.89,0.71,2.5,3.51,37.87,71.51,17.02,6.1,3.61,8.7,62.01,0
26.07,,27.43,,,,382.97,68.71,0.0,39.33,0.0,,,44.82,0.0,,0.0,0.0,19.72,32.36,4.98,29.67,9.87,0.02,0.18,0.26,721.57,97.84,390.31,45.0,0.83,4.96,5.96,15.6,83.23,12.78,0.22,28.26,21.06,44.52,0
0.31,0.7,0.13,0.01,0.77,2.11,156.06,41.12,41.64,73.85,0.55,1.23,2.23,31.19,55.25,29.79,2.57,8.22,13.24,57.35,-11.48,-38.98,-5.78,0.0,0.81,1.54,183.29,80.6,87.24,74.66,0.7,2.39,3.39,13.8,70.54,4.93,3.15,7.25,12.73,74.67,0
-33.29,-61.08,,1.44,1.44,1.44,,,,,0.45,0.83,1.83,-33.29,45.5,-52.91,1.97,0.0,,0.0,20.48,94.23,4.16,0.03,0.78,1.31,73.93,41.84,55.57,29.62,0.78,3.6,4.6,68.68,78.27,27.42,51.22,0.0,9.79,59.72,0
-5.6,-5.8,-2.68,28.63,28.63,29.94,78.57,,5.76,7.67,0.03,0.04,1.04,12.05,3.4,-164.71,,0.0,8.46,139.71,-94.95,-121.61,-14.23,4.14,4.14,5.0,54.57,0.1,10.79,9.38,0.22,0.28,1.28,-17.26,21.92,-433.21,,0.0,11.65,-538.81,0
-8.26,-29.9,-2.35,0.31,0.42,1.26,103.39,7.22,65.86,56.02,0.66,2.4,3.62,57.46,72.38,7.97,1.56,0.0,18.67,84.97,22.28,29.53,3.02,4.72,5.92,5.92,49.31,6.62,5.5,0.0,0.19,0.25,1.33,152.31,24.54,136.42,2.39,0.0,17.61,76.85,0
5.35,25.43,11.58,16.51,19.16,19.57,788.2,78.58,36.88,15.37,0.19,0.89,4.75,5.51,78.97,33.39,4.71,0.0,0.35,2.32,41.44,99.65,58.69,1.38,2.04,2.29,515.56,73.38,214.47,54.05,0.58,1.4,2.4,41.78,58.41,72.0,13.38,0.0,0.48,0.69,0
2.86,41.86,1.43,0.02,0.3,0.36,181.92,46.58,167.64,9.78,0.93,13.65,14.65,61.09,93.17,7.64,0.12,0.0,29.11,89.06,-11.22,199.55,-5.72,0.02,0.17,0.22,185.68,27.45,152.07,9.57,1.06,-18.78,-17.78,31.23,105.62,-5.35,-0.09,22.19,21.66,102.73,0
8.98,23.7,5.68,0.27,0.69,1.05,230.37,57.78,136.23,49.75,0.62,1.64,2.64,24.85,62.1,19.37,1.09,0.0,10.04,50.92,9.25,20.84,5.72,0.5,0.81,1.26,225.16,36.51,120.19,54.79,0.56,1.25,2.25,22.59,55.64,19.94,1.43,0.0,8.25,49.1,0
9.94,30.56,2.39,0.27,1.01,2.19,87.34,23.53,31.86,38.11,0.67,2.07,3.07,47.84,67.47,24.15,3.31,29.29,9.09,64.05,3.29,19.57,0.81,0.09,0.44,1.08,89.61,25.12,59.84,47.23,0.83,4.94,5.94,43.28,83.18,10.85,1.59,14.22,9.84,76.52,0
19.61,34.83,15.22,0.26,0.76,2.17,282.55,60.84,121.24,174.02,0.44,0.78,1.78,25.33,43.71,48.37,10.25,0.0,4.44,17.55,16.41,25.89,12.86,0.32,0.95,2.64,285.24,64.91,102.92,176.74,0.37,0.58,1.58,21.65,36.63,48.15,18.43,0.0,4.11,19.4,0
