ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
38.46,46.9,11.95,2.81,2.81,2.82,113.35,0.0,14.8,0.22,0.15,0.18,1.22,183.58,17.99,415.0,1.4,0.0,45.07,68.18,0
6.58,54.0,2.72,0.01,0.99,0.99,150.65,128.04,111.75,0.0,0.88,7.21,8.21,18.61,87.82,15.12,0.93,12.54,4.97,41.63,0
1.88,3.06,1.03,1.15,2.65,2.65,199.81,107.71,72.11,0.12,0.39,0.63,1.63,89.25,38.73,29.85,26.01,0.0,47.83,77.48,0
2.64,4.36,0.68,0.03,1.43,1.43,94.53,48.56,19.27,,0.4,0.65,1.65,48.87,39.52,16.04,1.35,16.45,11.98,84.54,0
-54.83,-89.65,-75.42,0.06,0.77,1.1,502.12,96.62,128.46,46.05,0.3,0.49,1.64,-13.86,38.84,-145.35,0.92,1.88,56.35,704.37,0
-0.05,-0.14,-0.3,0.03,0.25,0.95,2100.28,229.96,1036.21,732.72,0.5,1.32,2.63,0.58,61.98,8.7,0.73,0.0,3.65,11.23,0
0.22,1.54,0.08,0.15,0.7,1.15,138.43,63.72,100.12,53.0,0.86,5.92,6.92,7.16,85.56,8.76,6.88,12.0,2.63,32.27,0
-50.77,-107.2,-34.44,0.57,1.86,1.93,247.62,88.22,98.6,6.27,0.45,0.94,2.11,-1.08,52.64,-101.41,3.05,0.0,33.71,620.63,0
-10.14,-37.24,-26.26,0.03,0.05,1.37,945.0,7.24,674.24,908.76,0.73,2.67,3.67,2.92,72.76,-13.94,50.67,0.0,33.81,479.68,0
-0.14,-4.05,-0.1,0.07,0.82,0.98,245.42,169.24,228.32,38.88,0.96,27.55,28.55,13.28,96.5,3.96,0.85,0.0,9.03,-128.91,0
3.01,38.32,1.82,0.12,1.07,1.07,220.76,189.9,199.73,0.0,0.92,11.73,12.73,13.63,92.15,4.13,5.06,0.0,6.42,68.95,0
0.07,0.57,0.33,0.05,0.18,0.18,1759.19,29.24,227.62,,0.88,7.48,8.48,0.11,88.2,6.5,0.9,0.0,0.22,0.33,0
,,,,,,,,,,,,,,,,,,,,0
0.06,0.68,0.04,0.53,0.8,0.93,216.13,51.95,192.73,24.7,0.91,9.83,10.83,35.44,90.77,0.66,0.6,0.0,20.95,98.1,0
27.08,93.21,13.99,0.57,1.05,1.23,188.57,62.65,130.88,25.09,0.71,2.44,3.44,53.4,70.95,49.73,2.5,0.0,13.6,37.83,0
4.08,6.14,2.69,1.61,2.65,2.67,240.5,77.17,74.51,1.31,0.34,0.51,1.51,36.04,33.58,37.26,4.18,0.0,21.06,65.86,0
-26.07,-1782.02,-18.5,0.55,0.76,0.76,259.09,52.09,244.17,,0.98,67.15,68.37,-14.8,98.54,-3.12,0.24,0.0,7.99,79.3,0
4.35,45.62,5.22,0.7,1.2,1.2,437.91,162.89,351.7,0.89,0.9,9.49,10.49,23.01,90.47,5.69,5.88,0.0,22.39,71.69,0
1.79,6.07,1.06,0.21,0.72,1.27,217.03,77.61,150.71,83.78,0.71,2.39,3.39,21.5,70.54,2.53,2.77,0.0,11.72,100.75,0
3.58,120.08,3.77,0.04,0.73,0.73,384.96,219.83,334.75,0.19,0.97,32.57,33.57,24.38,97.02,6.53,0.35,7.53,21.95,65.64,0
-5.25,-6.03,-2.48,3.67,4.33,4.35,172.57,14.32,21.99,0.57,0.13,0.15,1.15,0.87,12.99,10.43,2.02,0.0,2.89,54.94,0
4.85,18.4,0.84,0.24,0.97,1.37,63.33,33.48,45.65,18.51,0.74,2.79,3.79,63.4,73.62,6.59,,0.0,10.16,74.09,0
-2.73,-11.6,-3.42,0.3,0.54,0.54,457.16,72.5,40.01,,0.67,2.84,4.25,7.45,76.46,30.88,0.38,57.9,12.75,26.04,0
-4.24,-4.66,-1.94,8.43,9.49,10.74,167.35,16.0,15.08,19.11,0.09,0.1,1.1,71.16,9.13,-46.37,,0.0,34.57,98.41,0
-18.47,-19.31,-236.83,10.72,11.31,11.31,4681.13,108.3,182.4,,0.04,0.05,1.05,21.32,4.35,-424.18,1.86,0.0,510.25,-286.79,0
4.46,4.4,10.3,-58.21,-72.13,-72.13,842.33,160.34,-11.52,,-0.01,-0.01,0.99,11.12,-1.39,-321.93,,0.0,15.36,42.4,0
30.33,118.16,8.39,0.27,0.72,0.98,100.96,33.39,73.73,19.4,0.74,2.9,3.9,38.97,74.33,62.59,1.02,0.0,2.39,14.84,0
6.26,31.28,5.4,1.05,1.26,1.26,315.14,51.07,247.14,0.0,0.8,4.0,5.0,47.83,79.99,7.82,,0.0,35.89,85.95,0
17.16,19.68,12.11,0.06,10.85,11.24,257.56,207.87,20.04,7.94,0.13,0.15,1.15,36.36,12.82,166.38,7.7,0.0,13.55,48.03,0
-41.75,-726.52,-21.58,0.26,1.23,1.24,188.69,105.39,108.28,0.23,0.94,16.4,17.4,26.18,94.25,11.5,0.29,0.0,35.12,869.64,0
7.78,9.65,4.58,1.65,4.88,4.96,214.54,103.37,32.58,2.57,0.19,0.24,1.24,71.66,19.36,67.17,3.56,0.0,37.54,79.01,0
4.2,4.85,0.63,2.55,4.34,7.48,54.84,12.91,7.23,23.04,0.13,0.15,1.15,4.2,13.36,138.98,,0.0,0.0,0.0,0
-5.03,-55.83,-3.37,0.2,0.9,0.92,244.18,152.82,218.03,3.74,0.91,10.09,11.09,18.94,90.98,3.43,0.58,0.0,16.04,78.82,0
0.33,0.78,0.08,0.04,0.68,1.37,92.25,30.13,37.69,32.42,0.58,1.39,2.39,38.9,58.16,39.31,1.41,10.07,9.75,58.66,0
0.1,0.18,0.17,0.18,0.81,1.84,588.81,77.11,216.22,224.35,0.41,0.7,1.7,6.41,41.13,4.73,2.02,0.0,10.17,63.41,0
0.29,0.56,0.28,0.09,1.14,1.29,349.44,152.43,104.77,23.11,0.48,0.92,1.92,31.13,47.87,16.11,1.23,11.97,29.53,74.88,0
0.04,0.17,0.02,0.15,0.77,0.78,194.79,93.06,149.97,0.87,0.79,3.66,4.66,18.94,78.53,27.99,0.57,0.0,10.09,46.97,0
-2.96,-21.19,-3.86,0.01,0.8,0.85,476.22,279.41,271.7,20.07,0.86,6.17,7.17,6.63,86.05,1.76,0.66,17.86,12.51,78.02,0
3.77,14.78,4.54,1.13,1.29,1.33,439.79,53.29,322.16,11.01,0.75,2.92,3.92,4.27,74.52,6.02,19.27,0.0,0.6,8.31,0
3.01,27.39,0.9,0.1,0.84,0.84,109.11,70.79,95.29,,0.89,8.06,9.1,86.81,89.01,11.06,0.53,0.0,25.05,85.29,0
0.23,6.04,0.11,0.58,0.97,1.17,173.03,47.8,118.78,25.01,0.96,25.27,26.27,4.16,96.19,11.27,1.82,24.43,1.86,20.92,0
