ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
7.94,9.66,12.3,2.15,3.27,5.45,563.77,57.27,51.11,113.17,0.12,0.15,1.22,23.37,17.78,191.37,1.69,0.0,23.89,66.36,11.85,13.43,20.18,5.51,6.81,11.04,619.91,38.99,31.26,132.5,0.07,0.08,1.13,26.82,7.18,340.09,2.05,0.0,18.74,45.05,0
-3.9,-5087.42,-30.65,0.01,0.07,0.13,2861.26,141.51,2306.32,166.77,0.94,1232.16,1304.79,1.27,99.92,6.04,0.07,11.92,40.64,-200.11,-4.63,-154.15,-66.97,0.0,0.16,0.31,5260.98,766.58,4535.5,717.32,93.63,3114.69,33.27,-1.41,93.63,0.81,0.06,4.5,32.78,-107.21,0
0.61,2.4,0.64,0.22,1.08,1.46,379.6,94.3,53.52,42.13,0.75,2.94,3.94,13.49,74.62,8.13,1.01,14.76,13.43,165.84,-2.63,-16.14,-4.16,0.01,1.0,1.42,575.45,271.58,142.61,113.7,83.68,512.78,6.13,7.6,83.68,2.0,1.4,23.94,11.62,52.84,0
1.15,1.31,2.15,1.83,3.22,7.17,680.33,-3.91,58.34,233.69,0.12,0.13,1.14,24.9,12.48,79.58,2.36,0.0,44.39,110.58,2.73,3.52,4.09,0.51,1.58,3.56,545.75,77.14,92.62,183.23,0.22,0.28,1.29,27.15,21.76,60.34,2.08,0.0,26.67,61.12,0
-3.47,-8.24,-9.68,0.01,0.74,0.93,1016.77,371.02,397.94,99.85,0.57,1.35,2.38,10.16,57.94,4.68,1.52,11.09,38.06,-338.67,3.71,9.86,10.56,0.18,1.13,1.32,1035.27,462.89,291.39,88.93,0.62,1.64,2.66,14.68,61.69,14.91,1.38,19.07,22.51,1587.15,0
2.68,3.91,3.02,0.37,0.7,2.05,410.84,29.57,89.65,122.93,0.24,0.35,1.46,26.51,31.51,55.16,1.28,0.0,26.9,98.79,9.68,13.55,11.48,0.16,0.61,2.09,431.47,40.84,90.39,133.73,0.23,0.32,1.4,30.7,22.6,81.9,1.31,0.0,18.03,54.37,0
11.76,33.25,31.52,0.23,0.42,0.58,975.18,116.31,620.97,102.42,0.65,1.83,2.83,19.09,64.62,25.73,0.57,0.0,19.64,72.71,6.46,21.69,,0.01,0.09,0.27,2012.62,108.77,1391.58,252.89,0.7,2.36,3.36,13.03,70.24,16.32,0.37,0.0,26.76,76.62,0
10.93,21.25,11.39,0.58,0.69,2.08,379.57,13.63,118.03,166.06,0.32,0.62,1.95,14.81,48.59,48.39,1.52,0.0,4.05,-286.65,7.2,10.95,6.32,0.09,1.89,3.77,319.73,98.39,54.75,103.05,0.18,0.27,1.52,12.17,17.59,70.19,1.94,0.0,3.07,-42.38,0
2.55,12.92,3.84,0.0,1.31,2.73,547.52,93.06,39.7,108.99,0.78,3.96,5.06,9.7,80.25,14.35,1.4,67.44,10.75,34.41,4.19,23.24,5.84,0.0,0.38,0.95,507.61,58.24,77.99,95.87,0.8,4.43,5.55,11.12,79.79,14.54,0.95,59.89,6.98,26.59,0
0.06,0.3,0.17,0.05,0.11,0.11,1106.43,50.8,860.22,,0.81,4.28,5.31,0.06,81.18,3.27,0.21,0.0,0.0,0.0,2.89,14.25,,0.18,0.25,0.25,1154.85,61.14,904.82,0.0,0.79,3.9,4.93,2.89,79.22,8.8,0.25,0.0,0.0,0.0,0
0.63,0.78,0.73,0.12,0.77,2.25,425.73,36.73,56.15,83.9,0.19,0.24,1.24,19.31,19.41,73.73,1.22,0.0,21.85,114.21,-9.79,-15.83,-13.54,0.06,0.23,0.82,503.44,25.05,120.03,83.59,0.37,0.6,1.62,6.79,36.89,12.61,0.9,9.63,16.29,145.78,0
1.85,2.13,5.56,6.44,7.29,8.72,1092.34,71.98,84.96,123.53,0.13,0.15,1.15,13.98,12.96,62.4,2.92,0.0,36.41,109.7,4.12,4.63,15.17,9.22,10.17,12.82,1338.68,71.84,75.15,199.5,0.11,0.12,1.12,16.14,10.79,97.56,3.45,0.0,32.12,69.03,0
-1.41,-9.17,-1.71,50.08,93.27,95.57,391.23,131.28,3.04,7.1,0.85,5.5,6.5,-1.37,84.62,-1.67,0.46,0.0,0.05,-0.1,-7.94,-10077.78,-14.34,0.57,1.02,1.03,656.89,162.36,364.65,5.43,1.0,1267.62,1268.62,-7.94,99.92,-3.42,0.0,0.0,0.0,0.0,0
