ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
-60.25,268.97,-1475.98,0.01,0.11,0.11,7251.59,1059.89,10794.97,,1.22,-5.46,-4.46,-60.25,122.4,-25.85,-0.26,0.0,0.0,0.0,-247.73,62.13,-231.62,0.2,0.2,0.2,341.26,,1678.66,,4.99,-1.25,-0.25,-247.73,498.73,-17.44,,0.0,0.0,0.0,0
33.52,41.67,13.99,4.23,4.86,7.63,151.93,2.57,13.9,39.07,0.2,0.24,1.24,51.47,19.57,214.52,2.88,0.0,7.49,25.94,34.35,42.99,16.95,5.46,6.09,7.69,180.15,3.24,18.2,29.46,0.2,0.25,1.25,50.07,20.11,203.33,3.99,0.0,7.76,24.27,0
-0.76,26.37,-0.37,0.02,0.48,0.92,179.99,82.86,181.65,80.5,1.03,-35.88,-34.88,0.97,102.87,-0.73,-0.43,0.0,0.86,82.59,0.25,-9.87,0.1,0.03,0.51,0.92,137.4,65.15,137.88,57.69,1.03,-40.0,-39.0,3.24,102.56,0.25,-0.37,0.0,1.12,70.19,0
-1.54,-15.83,-0.38,0.16,0.91,0.92,89.22,55.74,74.75,0.5,0.9,9.3,10.3,14.02,90.29,13.51,0.71,0.0,3.81,49.0,0.2,5.15,0.13,0.23,2.09,2.09,250.84,210.9,113.63,0.81,0.96,25.2,26.2,3.34,96.18,4.74,14.85,0.0,2.16,31.74,0
-124.59,-320.16,-150.41,0.55,0.63,0.7,439.43,21.88,265.48,18.32,0.61,1.57,2.57,-84.94,61.09,-203.96,0.69,0.0,47.86,-47.46,7.43,20.05,2.67,0.28,0.71,1.06,131.33,35.32,81.55,29.01,0.63,1.7,2.7,12.91,62.95,11.8,1.12,0.0,1.97,31.41,0
2.99,21.15,0.82,0.19,0.27,0.88,100.03,7.18,66.28,50.84,0.86,6.07,7.07,44.84,85.86,15.83,0.57,17.2,11.5,73.78,11.98,44.89,2.86,0.24,0.3,1.18,87.09,4.03,53.53,54.17,0.73,2.75,3.75,50.7,73.3,31.4,1.75,8.56,9.24,55.62,0
7.33,29.96,7.43,0.24,0.33,0.41,368.99,13.27,112.76,12.79,0.76,3.09,4.09,25.16,75.53,18.94,0.69,43.55,18.07,45.75,13.69,42.13,12.7,0.24,0.38,0.58,338.47,18.22,101.07,23.94,0.68,2.08,3.08,34.39,67.5,30.89,0.78,35.0,19.2,44.55,0
9.66,64.04,3.11,0.19,0.98,1.14,117.21,77.47,98.04,16.28,0.85,5.63,6.63,11.94,84.92,11.46,4.35,0.0,0.74,15.88,8.62,56.1,3.48,0.47,1.05,1.05,147.39,71.38,122.78,0.32,0.85,5.51,6.51,11.77,84.63,11.4,1.44,0.0,1.27,19.73,0
-5.14,-456.74,-0.97,0.1,0.12,0.5,68.78,1.41,65.12,25.0,0.99,87.83,88.83,26.49,98.87,10.94,0.08,0.0,5.98,82.7,-13.46,110.33,-2.13,0.09,0.12,0.45,57.82,1.95,63.31,20.72,1.12,-9.19,-8.19,22.98,112.2,-5.37,-0.22,0.0,5.77,134.16,0
6.7,36.79,10.07,0.81,1.07,1.07,546.57,111.64,440.49,2.2,0.82,4.49,5.49,26.65,81.78,14.2,1.46,0.0,29.95,62.93,0.65,3.42,0.9,0.39,0.66,0.66,507.69,108.04,403.6,0.74,0.81,4.29,5.29,28.97,81.1,9.42,0.42,0.0,39.4,69.54,0
-8.15,157.06,-15.64,0.23,0.45,0.68,518.02,161.01,726.5,166.87,1.05,-20.26,-19.26,-6.09,105.19,-7.75,-0.18,0.0,3.95,-38.01,13.63,154.26,4.54,0.17,0.46,0.81,121.62,31.81,109.07,38.38,0.91,10.31,11.31,24.39,91.16,16.77,0.34,0.0,3.58,37.22,0
9.76,19.55,6.41,0.29,0.62,0.89,239.65,21.0,77.21,21.07,50.08,100.31,2.0,14.17,,,,,,,15.49,29.67,9.55,0.23,0.78,1.09,224.31,34.66,65.74,20.97,47.79,91.54,1.92,19.4,,,,,,,0
