ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.11,5.92,6.74,0.2,0.23,0.23,22888.04,637.0,22223.04,,0.98,54.22,55.22,1.21,98.19,0.11,0.02,0.0,69.44,88.75,0
4.45,59.38,1.74,0.06,1.13,1.13,141.96,132.17,123.75,,0.92,12.32,13.33,55.45,92.5,6.47,,0.0,19.89,88.45,0
0.07,0.07,0.23,37.91,46.47,46.95,1169.54,174.56,20.43,9.88,0.02,0.02,1.02,6.86,2.15,335.58,5.85,0.0,21.8,48.33,0
-121.77,138.8,-682.75,0.06,0.09,0.09,2040.9,116.79,3789.34,0.0,1.88,-2.14,-1.14,-121.77,187.73,-49.0,-1.07,0.0,0.0,0.0,0
-3.56,-17.48,-3.28,-0.05,0.08,0.08,335.4,33.39,258.08,2.1,0.78,3.82,4.91,16.22,79.64,-4.57,0.42,0.0,18.22,106.25,0
-14.89,118.86,-9.22,0.27,0.72,0.72,225.24,98.11,215.09,0.21,1.13,-8.98,-7.98,-9.13,112.53,-3.02,0.11,0.0,3.57,-114.99,0
-6.61,24.24,-2.99,0.0,0.0,0.65,164.38,0.02,196.0,128.82,1.27,-4.66,-3.66,34.4,127.29,-3.72,-1.31,0.0,18.52,58.44,0
12.06,20.01,28.16,0.45,0.77,0.77,850.16,105.38,329.15,,0.4,0.66,1.66,20.33,39.76,37.0,0.88,0.0,19.33,94.01,0
14.38,17.94,7.37,0.14,13.16,13.43,186.64,147.86,12.03,3.31,0.2,0.25,1.25,51.3,19.82,94.49,7.52,0.0,18.93,73.12,0
-67.89,12.45,-298.54,0.05,0.07,0.13,1600.66,271.62,10215.66,596.53,6.45,-1.18,-0.18,-67.89,645.31,-1.88,,0.0,0.0,0.0,0
11.85,18.92,4.51,2.42,3.05,3.78,138.65,18.65,29.7,21.92,0.37,0.6,1.6,14.41,37.36,36.0,4.3,15.7,0.97,11.13,0
-0.87,-1.92,-0.82,0.01,1.13,1.51,343.8,167.06,155.25,70.3,0.54,1.2,2.2,0.73,54.48,1.17,2.53,8.42,1.51,46.35,0
40.39,45.42,17.32,7.47,7.47,8.9,156.12,,16.27,23.74,0.11,0.12,1.12,151.21,11.09,364.25,,0.0,47.53,86.36,0
-34.85,37.54,-3.54,0.05,0.4,0.4,36.98,21.77,62.72,,1.93,-2.08,-1.08,-25.32,192.84,-5.38,-2.29,0.0,0.97,22.95,0
-0.06,-0.91,-0.05,0.34,0.72,1.03,295.57,103.58,270.8,85.77,0.93,13.97,14.97,11.83,93.32,4.06,1.81,0.0,9.66,72.44,0
16.2,36.72,4.3,0.07,1.73,1.76,96.54,84.79,51.04,1.53,0.55,1.25,2.27,93.42,55.87,45.38,8.0,0.0,20.48,62.15,0
8.02,33.48,1.59,0.27,1.22,1.22,72.35,51.5,54.42,0.0,0.76,3.18,4.18,8.02,76.05,13.84,3.19,0.0,0.0,0.0,0
6.47,8.07,13.03,1.57,2.13,2.77,733.66,73.16,130.83,85.91,0.2,0.25,1.25,21.95,19.86,47.4,1.64,0.0,31.22,87.08,0
0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,,,0
110.45,117.37,49.92,3.89,16.97,16.97,164.51,125.42,9.59,0.0,0.06,0.06,1.06,210.09,5.89,1874.93,,0.0,45.03,45.03,0
-10.14,-24854.22,-3.12,0.1,0.78,0.78,111.98,74.35,110.58,,1.0,2450.21,2451.21,-3.16,99.96,-5.6,0.01,0.0,2.15,234.41,0
0.62,4.1,0.49,0.54,2.56,4.35,288.15,91.35,45.18,82.02,0.85,5.65,6.65,23.35,84.97,3.07,0.49,0.0,17.99,87.04,0
4.67,71.72,4.43,0.07,0.76,0.8,345.64,202.46,293.05,10.65,0.93,14.37,15.37,16.72,93.49,19.79,0.42,0.58,11.44,36.2,0
37.94,64.11,18.0,0.16,2.63,2.64,172.73,154.58,44.99,0.46,0.41,0.69,1.69,125.53,40.82,97.34,17.74,10.26,41.56,62.74,0
33.88,61.14,16.45,2.05,2.31,2.31,176.71,18.8,67.66,,0.45,0.8,1.8,97.72,44.59,100.91,10.25,2.06,30.99,48.95,0
4.96,5.17,0.6,13.03,18.95,18.95,44.04,10.21,1.72,0.0,0.04,0.04,1.04,29.23,4.06,160.65,4.11,0.0,2.94,64.1,0
1.12,11.99,0.39,0.33,1.01,1.09,125.33,66.44,94.42,7.82,0.91,9.72,10.72,11.81,90.67,4.79,1.33,11.33,3.68,57.55,0
6.11,35.64,2.41,0.32,1.16,1.16,143.92,80.49,95.76,,0.83,4.84,5.84,15.85,82.87,13.25,1.63,0.0,3.85,43.56,0
0.82,25.91,0.41,0.23,0.86,0.87,180.92,108.93,173.24,0.96,0.97,30.54,31.54,2.61,96.83,2.63,0.2,0.0,0.89,36.38,0
2.52,11.18,0.94,0.04,0.78,0.84,135.57,71.08,46.13,5.6,0.77,3.43,4.43,46.88,77.42,13.04,0.71,37.35,16.52,76.38,0
0.48,2.06,,0.73,0.85,0.92,,,,,0.77,3.28,4.28,0.48,76.62,0.63,0.72,0.0,,,0
0.78,4.39,0.85,0.01,0.6,1.0,398.05,131.47,232.15,108.17,0.82,4.64,5.64,15.16,82.28,6.82,0.93,14.76,15.73,112.49,0
10.05,23.85,4.41,0.61,1.95,1.95,159.62,108.11,80.89,,0.57,1.36,2.37,54.99,57.88,17.6,,0.0,19.71,69.64,0
30.6,87.34,3.58,0.63,1.53,1.54,42.58,23.85,27.23,0.36,0.65,1.85,2.85,35.91,64.96,47.11,,0.0,0.62,10.17,0
-1.32,-4.75,-0.37,0.38,1.22,1.22,100.69,55.05,65.62,,0.72,2.6,3.59,166.55,72.18,1.54,1.73,0.0,46.44,92.07,0
-22.21,-189.17,-7.86,0.03,0.94,0.94,128.82,98.97,107.94,,0.88,7.52,8.52,43.93,88.26,-13.39,0.66,0.0,23.41,63.82,0
-217.99,111.61,-37.02,0.24,0.31,0.31,61.81,13.71,179.03,0.0,2.95,-1.51,-0.51,-152.92,295.32,-73.12,-27.74,0.0,11.05,-41.42,0
9.27,38.15,5.58,0.6,0.97,1.16,218.98,35.42,94.26,18.32,0.69,2.84,4.12,22.33,75.7,20.54,0.87,0.0,7.86,33.99,0
16.18,18.4,14.77,2.44,9.0,9.0,332.27,36.52,35.87,0.0,0.12,0.14,1.14,87.06,12.05,134.29,,0.0,64.7,75.17,0
29.48,91.2,23.95,0.02,1.78,1.78,295.78,261.89,148.43,,0.68,2.09,3.09,38.57,67.68,46.98,4.12,0.0,7.39,20.83,0
-6.67,-659.68,-4.71,0.1,0.73,0.99,256.96,124.19,196.17,50.22,0.99,97.59,98.97,27.73,98.99,-3.2,0.36,0.0,24.28,94.33,0
4.38,4.52,1.42,13.2,21.4,21.4,118.0,29.08,3.55,,0.03,0.03,1.03,6.81,3.06,143.17,2.81,0.0,0.79,27.01,0
-13.65,12.31,-2.94,0.05,0.56,0.57,78.43,19.87,38.95,0.43,2.11,-1.9,-0.9,7.89,210.93,4.9,-1.56,0.0,4.64,67.17,0
8.51,69.63,3.91,0.96,1.09,1.09,167.4,19.21,144.94,0.0,0.88,7.18,8.18,18.14,87.78,9.7,3.33,0.0,4.43,47.03,0
-1.43,-1.63,-7.05,7.13,7.88,8.43,1790.69,156.51,210.08,117.34,0.12,0.13,1.13,-1.43,11.86,-12.08,,0.0,0.0,0.0,0
-3.29,-3.62,-0.19,13.08,13.11,13.11,21.41,0.05,1.61,,0.09,0.1,1.1,-3.29,8.97,-36.73,,0.0,0.0,0.0,0
-51.45,-1382.81,-55.18,0.25,0.41,0.41,390.43,61.63,390.29,,0.96,25.88,26.88,-35.14,96.28,-44.51,0.07,0.0,17.49,-67.05,0
8.62,25.6,2.61,0.16,1.49,1.49,110.15,96.01,72.27,0.0,0.66,1.97,2.97,28.33,66.34,12.99,,0.0,5.97,55.46,0
8.89,-35.14,3.7,0.15,0.79,0.79,151.52,39.05,166.28,0.06,1.25,-4.95,-3.95,76.43,125.3,10.8,-1.1,0.0,28.11,75.05,0
6.97,23.77,10.03,0.14,0.39,0.39,523.89,58.74,240.6,0.0,0.71,2.41,3.41,29.17,70.66,9.87,0.66,23.68,31.94,66.98,0
