ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
2.89,3.45,4.88,3.0,3.64,8.5,614.13,19.47,30.44,149.95,0.13,0.16,1.19,22.89,16.13,105.88,1.59,0.0,33.73,88.26,0
41.18,48.24,173.81,5.52,8.13,8.13,1536.51,488.14,186.92,0.0,0.15,0.17,1.17,41.18,14.64,281.22,,0.0,0.0,0.0,0
0.61,5.19,2.78,0.4,0.51,1.01,1645.79,157.75,1398.24,717.73,0.87,7.35,8.46,31.3,88.17,11.97,1.0,0.0,138.76,-87.52,0
6.53,8.03,11.86,3.21,4.14,8.53,660.54,31.66,24.41,150.36,0.16,0.19,1.23,23.16,18.59,96.06,1.64,4.3,30.16,78.53,0
0.85,-10.96,1.35,0.03,0.22,0.7,575.38,61.18,336.91,163.86,0.9,-11.56,-12.86,24.17,107.77,14.73,-0.07,3.75,36.87,1442.23,0
-3.86,-6.81,-10.32,0.39,0.69,3.62,974.09,24.88,83.28,246.98,0.28,0.5,1.76,8.04,43.33,15.94,1.11,18.08,31.83,138.22,0
-0.5,-0.8,-1.7,0.09,1.29,2.08,1230.77,27.22,124.36,201.97,0.27,0.43,1.6,8.32,37.43,21.11,1.15,12.69,29.83,298.18,0
1.39,1.6,2.83,3.63,5.11,6.49,739.1,70.84,47.92,67.16,0.11,0.12,1.14,14.65,12.64,76.7,1.58,0.0,26.91,107.74,0
0.59,2.59,136.3,202.08,606.13,606.13,83748.83,577.82,95.05,,0.77,3.37,4.37,0.59,77.1,0.77,0.75,0.0,0.0,0.0,0
2.31,3.24,15.74,0.03,0.57,1.34,2477.74,166.43,304.96,236.11,0.27,0.38,1.4,12.15,28.61,34.24,1.03,13.73,66.96,286.91,0
0.48,1.07,0.8,0.04,0.72,3.06,606.87,54.75,56.26,196.55,0.51,1.13,2.23,24.05,55.15,20.38,1.4,19.9,39.29,93.51,0
-9.92,-50.59,-19.37,0.03,0.14,0.62,710.34,26.7,238.34,118.01,0.8,4.1,5.1,0.15,80.38,9.07,0.25,0.2,19.66,1284.58,0
