ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
0.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0
0.0,,0.0,0.23,0.4,0.99,134.28,22.43,132.44,80.47,1.0,,,21.29,100.0,0.0,0.0,0.0,7.83,48.21,0
0.01,0.33,0.0,0.26,0.66,1.05,139.38,52.5,131.31,51.82,0.96,25.75,26.75,32.27,96.26,0.01,,0.0,12.32,101.53,0
30.18,94.33,5.89,0.14,0.99,1.45,71.28,38.68,45.72,21.48,0.68,2.12,3.13,81.17,68.01,48.42,7.51,0.0,9.96,54.5,0
8.21,26.21,1.8,0.28,0.55,1.77,80.06,9.95,23.8,45.0,0.69,2.19,3.19,67.92,68.66,24.26,2.81,34.62,13.1,70.42,0
58.15,79.51,25.7,2.45,3.8,3.8,161.35,51.92,38.45,0.0,0.27,0.37,1.37,81.99,26.87,232.49,9.24,0.0,10.54,23.32,0
3.05,64.33,0.76,0.27,0.59,0.99,90.97,21.88,75.95,30.97,0.95,20.07,21.08,30.39,95.26,5.39,0.93,8.78,6.81,78.09,0
40.94,41.18,8.15,,,,72.66,58.18,0.0,0.0,0.01,0.01,1.01,68.75,0.6,7520.19,9.55,0.0,5.54,33.35,0
-3.0,18.18,-28.9,0.05,0.07,0.12,3517.44,30.36,1505.42,78.8,1.16,-7.06,-6.06,0.38,116.5,-2.57,0.6,0.0,32.53,445.89,0
15.6,22.17,4.87,0.55,2.71,3.54,113.94,66.76,30.91,25.75,0.3,0.42,1.42,31.58,29.63,55.3,25.66,0.0,4.99,43.17,0
0.0,-0.01,0.0,0.22,0.85,1.31,113.05,46.45,73.64,34.7,1.08,-14.12,-13.12,24.5,107.62,0.04,2.79,24.28,7.59,92.92,0
57.96,90.12,16.61,0.64,1.66,3.08,104.62,,29.91,42.81,0.36,0.55,1.55,109.08,35.69,170.74,7.96,4.2,14.65,40.58,0
-0.65,-49.69,-0.72,0.1,0.48,0.62,401.94,86.31,214.08,31.8,0.99,74.88,75.88,10.54,98.68,2.43,0.67,44.19,12.33,73.42,0
0.21,0.51,0.07,0.12,0.41,0.92,116.35,4.28,39.22,26.32,0.6,1.47,2.47,39.4,59.52,5.08,0.92,12.85,12.49,88.03,0
-7.22,64.42,-7.46,0.02,0.11,0.72,377.24,39.09,412.26,254.8,1.11,-9.92,-8.93,18.08,111.2,-6.5,-0.55,0.0,26.15,103.27,0
-19.42,-5364.33,-5.19,0.04,0.55,0.8,97.55,48.19,94.68,23.86,1.0,275.29,276.29,17.6,99.64,-15.68,0.03,0.0,9.89,126.72,0
5.46,3792.31,3.04,0.42,1.79,4.5,203.62,55.49,31.19,111.86,1.0,693.84,694.84,20.77,99.86,6.77,8.23,4.7,8.54,64.7,0
0.64,34.06,0.81,0.02,0.12,0.14,462.39,44.25,431.96,9.19,0.98,52.36,53.36,8.65,98.13,7.47,0.06,0.0,10.15,51.04,0
-17.59,-17.59,,,,,,,,,,,1.0,-17.59,0.0,,,0.0,,0.0,0
3.7,4.31,2.08,4.17,4.25,5.44,205.34,2.09,27.47,33.16,0.14,0.16,1.16,53.95,14.06,87.21,3.37,0.0,28.27,75.05,0
25.51,27.27,6.86,7.08,10.97,15.4,98.16,22.68,5.83,26.16,0.06,0.07,1.07,27.64,6.44,433.46,14.04,0.0,0.57,5.76,0
50.09,-148.29,29.23,0.02,0.69,0.69,213.01,,207.56,,1.34,-3.96,-2.96,50.09,133.78,40.9,0.04,0.0,0.0,0.0,0
