ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,IS_BANKRUPT
0.36,0.82,0.86,0.04,0.2,0.44,873.17,71.33,394.98,108.05,0.56,1.28,2.28,5.73,56.2,11.66,0.63,9.42,12.87,37.06,0
12.88,47.87,10.43,0.08,1.1,1.29,294.68,217.67,212.72,39.46,0.73,2.72,3.72,19.57,73.09,17.63,5.37,0.0,5.42,28.13,0
-0.61,-1.48,-0.07,0.96,0.37,0.97,38.77,-6.26,10.76,6.49,0.59,1.41,2.41,25.17,58.55,69.03,0.99,0.0,2.75,34.22,0
-9.27,-46.25,-3.41,0.32,0.88,1.17,133.82,49.52,87.54,25.84,0.8,3.99,4.99,6.92,79.96,-1.1,1.54,13.71,5.95,80.89,0
0.03,0.36,0.02,0.22,0.65,1.14,249.1,92.67,158.68,106.92,0.92,10.82,11.82,25.77,91.54,0.03,,23.3,17.61,92.02,0
42.08,72.38,14.68,0.15,1.45,2.25,126.97,62.33,47.85,39.38,0.42,0.72,1.72,84.37,41.85,108.09,4.32,0.16,14.75,43.57,0
29.22,138.38,12.61,0.38,1.26,1.29,157.14,94.49,80.04,3.72,0.79,3.74,4.74,51.13,78.89,41.99,2.77,26.54,9.46,31.92,0
2.16,6.87,1.01,0.51,1.42,1.45,169.59,74.15,63.77,2.87,0.69,2.18,3.18,14.72,68.55,15.76,1.77,10.98,5.85,74.72,0
0.98,1.38,3.02,262.47,470.62,470.71,1120.5,90.03,0.43,0.04,0.19,0.26,1.41,0.98,28.84,76.42,1.1,18.77,0.0,0.01,0
18.13,22.9,17.01,3.73,7.55,7.89,341.58,161.57,42.29,14.56,0.21,0.26,1.26,61.64,20.84,128.46,101.52,0.0,40.84,67.12,0
-6.71,-17.89,-9.29,0.02,0.19,0.23,504.02,44.71,277.99,11.32,0.61,1.63,2.67,8.26,62.51,7.43,0.49,5.2,20.73,50.91,0
8.35,9.75,6.59,2.22,6.14,6.41,287.39,125.72,32.19,9.04,0.14,0.17,1.17,36.22,14.38,89.49,3.18,0.0,22.0,63.96,0
0.43,1.1,0.34,0.11,0.56,1.07,285.77,72.99,161.65,82.72,0.58,1.46,2.53,25.54,60.44,12.72,1.03,0.0,19.71,78.24,0
10.13,88.77,3.21,0.22,0.48,0.9,115.36,24.97,97.06,41.25,0.89,7.77,8.77,16.32,88.59,17.68,0.63,0.0,1.96,26.89,0
-38.97,-152.99,-30.98,0.2,0.89,0.95,289.34,125.0,182.99,11.44,0.75,2.93,3.93,-31.52,74.53,-26.61,0.92,0.0,5.93,-80.92,0
0.22,16.97,0.08,0.15,0.74,0.75,135.53,51.52,83.87,1.01,0.99,75.66,76.72,41.36,98.7,8.86,0.67,13.47,15.32,79.15,0
-0.98,-1.29,-274.09,12.54,15.93,15.93,101306.75,956.06,1620.89,,0.23,0.31,1.31,-0.98,23.5,-3.12,1.32,0.0,0.0,0.0,0
10.9,22.66,18.59,0.36,0.46,1.04,267.79,25.13,318.65,186.6,0.52,1.08,2.08,10.9,51.89,31.19,1.06,0.0,0.0,0.0,0
1.1,1.14,50.13,0.13,24.02,24.02,16542.01,12838.78,537.55,0.0,0.03,0.03,1.03,1.1,3.29,61.48,4.59,0.0,0.0,0.0,0
68.28,93.35,19.49,3.53,3.84,4.0,103.88,6.39,20.39,3.32,0.27,0.37,1.37,77.34,26.86,294.81,4.12,0.0,2.59,8.4,0
22.56,76.96,8.65,0.36,1.15,1.21,139.57,77.57,97.56,5.47,0.71,2.41,3.41,22.56,70.68,38.52,2.11,0.0,0.0,0.0,0
15.19,17.35,13.02,7.58,9.95,9.97,311.87,71.21,30.04,0.53,0.12,0.14,1.14,73.0,12.44,148.46,36.6,0.0,49.53,72.17,0
11.2,26.45,3.45,0.56,1.11,1.44,111.96,35.09,63.82,21.67,0.58,1.36,2.36,43.22,57.66,30.48,2.54,0.0,9.85,57.36,0
0.59,1.55,0.43,0.1,0.62,1.1,267.75,77.63,68.88,79.63,0.62,1.65,2.65,61.22,62.23,17.24,1.2,35.0,44.6,83.01,0
-52.85,109.05,-26.24,0.18,0.35,0.61,153.44,46.77,262.88,69.11,1.48,-3.06,-2.06,25.29,148.46,-35.6,-5.48,0.0,38.8,302.57,0
-34.93,-179.76,-15.97,0.01,0.96,1.3,166.45,116.45,79.14,43.08,0.81,4.15,5.15,20.1,80.57,-34.62,9.5,26.67,25.16,172.84,0
20.07,70.6,6.6,0.05,0.69,0.69,119.74,53.71,34.87,0.14,0.72,2.52,3.52,165.02,71.57,37.23,0.55,41.96,47.68,82.73,0
8.29,19.97,1.12,0.57,0.78,1.14,49.28,4.54,20.04,9.09,0.58,1.41,2.41,161.65,58.47,26.71,1.07,10.24,20.76,88.87,0
20.61,88.28,9.49,0.35,1.26,1.26,167.61,116.16,127.07,,0.77,3.28,4.28,20.86,76.66,27.74,7.06,0.0,0.12,0.96,0
8.24,13.78,5.26,0.83,1.11,2.51,232.45,17.42,73.57,104.5,0.4,0.67,1.67,21.67,40.24,28.67,4.06,0.0,8.58,52.39,0
66.08,96.24,43.41,1.46,2.23,2.26,239.09,56.35,73.41,2.43,0.31,0.46,1.46,74.7,31.33,230.21,2.3,0.0,5.66,8.93,0
39.43,60.69,15.21,1.26,1.91,3.0,140.41,30.16,46.08,50.92,0.35,0.54,1.54,39.43,35.03,113.63,194.0,0.0,0.0,0.0,0
