ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,IS_BANKRUPT
0.0,-1.5,-0.01,0.08,0.09,0.09,1331.44,20.28,1234.39,2.89,99.79,47454.6,475.55,5.65,99.79,5.14,0.0,5.43,20.66,52.3,0
7.52,8.18,4.95,11.73,11.73,12.31,239.62,,19.26,11.11,0.08,0.09,1.09,7.52,8.13,92.5,,0.0,0.0,0.0,0
-38.7,-5479.03,,0.42,1.04,1.04,,,,,0.99,140.58,141.58,-38.7,99.29,-38.97,,0.0,,0.0,0
0.09,0.25,0.18,0.54,0.71,2.33,754.95,38.16,236.18,380.8,0.57,1.6,2.81,22.55,56.81,14.68,2.26,0.0,33.29,390.8,0
3.39,41.44,17.07,0.07,0.11,0.11,1832.4,65.08,1650.0,,0.92,11.22,12.22,7.74,91.82,26.61,0.09,0.0,21.91,-39.8,0
2.7,37.62,1.72,0.02,0.77,1.09,231.63,149.81,200.46,63.48,0.93,12.94,13.94,2.7,92.83,5.09,1.44,0.0,0.0,0.0,0
4.87,8.29,6.2,0.19,0.52,2.23,463.36,21.21,64.15,109.95,0.4,0.68,1.7,14.06,39.89,43.7,1.22,20.24,7.96,32.84,0
6.34,6.34,7.44,1170.69,1707.8,2289.31,427.27,69.8,0.13,75.57,0.0,0.0,1.0,10.21,0.03,25131.43,3.38,0.0,3.6,-20.03,0
7.56,18.49,3.32,0.21,0.73,0.78,159.8,47.75,91.52,4.39,0.59,1.44,2.44,10.58,59.09,16.87,0.75,0.01,1.09,16.69,0
26.27,26.27,,,,,420.96,2.49,,,,,1.0,26.27,0.0,,,0.0,0.0,0.0,0
3.5,5.91,9.58,0.11,0.21,0.21,995.61,30.97,343.29,,0.41,0.69,1.69,3.5,40.72,8.6,0.64,-1.28,0.0,0.0,0
2.52,30.59,5.46,0.03,0.04,0.12,787.38,9.86,699.76,53.74,0.92,11.13,12.13,20.46,91.75,15.69,0.11,0.0,28.01,50.62,0
4.24,6.15,3.43,0.16,1.76,2.32,294.36,138.51,86.15,47.81,31.03,44.99,1.45,33.27,31.03,26.13,2.2,0.0,16.15,214.72,0
10.0,17.3,19.41,2.07,2.21,2.21,706.36,40.94,294.55,,0.42,0.73,1.73,12.21,42.18,30.93,8.44,0.0,4.28,11.47,0
3.4,20.53,3.63,0.31,0.72,0.82,387.94,129.93,319.87,33.46,0.83,5.03,6.03,7.88,83.43,15.16,0.53,0.0,3.34,-2.99,0
-7.9,-13.46,-17.0,0.14,0.59,1.37,782.86,138.36,313.11,245.1,0.41,0.7,1.7,-7.9,41.3,-12.11,1.31,0.0,0.0,0.0,0
-0.25,-1.53,-2.07,0.02,0.58,0.68,3046.47,959.27,1291.04,178.94,59.35,367.79,6.2,5.38,59.35,3.74,0.31,16.3,33.79,-160.76,0
3.38,41.22,6.58,0.06,0.66,1.09,707.42,386.01,642.22,276.61,0.92,11.18,12.18,3.38,91.79,3.69,,0.0,0.0,0.0,0
11.85,13.43,20.18,5.51,6.81,11.04,619.91,38.99,31.26,132.5,0.07,0.08,1.13,26.82,7.18,340.09,2.05,0.0,18.74,45.05,0
-4.63,-154.15,-66.97,0.0,0.16,0.31,5260.98,766.58,4535.5,717.32,93.63,3114.69,33.27,-1.41,93.63,0.81,0.06,4.5,32.78,-107.21,0
-2.63,-16.14,-4.16,0.01,1.0,1.42,575.45,271.58,142.61,113.7,83.68,512.78,6.13,7.6,83.68,2.0,1.4,23.94,11.62,52.84,0
2.73,3.52,4.09,0.51,1.58,3.56,545.75,77.14,92.62,183.23,0.22,0.28,1.29,27.15,21.76,60.34,2.08,0.0,26.67,61.12,0
3.71,9.86,10.56,0.18,1.13,1.32,1035.27,462.89,291.39,88.93,0.62,1.64,2.66,14.68,61.69,14.91,1.38,19.07,22.51,1587.15,0
9.68,13.55,11.48,0.16,0.61,2.09,431.47,40.84,90.39,133.73,0.23,0.32,1.4,30.7,22.6,81.9,1.31,0.0,18.03,54.37,0
6.46,21.69,,0.01,0.09,0.27,2012.62,108.77,1391.58,252.89,0.7,2.36,3.36,13.03,70.24,16.32,0.37,0.0,26.76,76.62,0
7.2,10.95,6.32,0.09,1.89,3.77,319.73,98.39,54.75,103.05,0.18,0.27,1.52,12.17,17.59,70.19,1.94,0.0,3.07,-42.38,0
4.19,23.24,5.84,0.0,0.38,0.95,507.61,58.24,77.99,95.87,0.8,4.43,5.55,11.12,79.79,14.54,0.95,59.89,6.98,26.59,0
2.89,14.25,,0.18,0.25,0.25,1154.85,61.14,904.82,0.0,0.79,3.9,4.93,2.89,79.22,8.8,0.25,0.0,0.0,0.0,0
