,clf,average gmean,std gmean
0,SVC_WEIGHTED,64.5,37
1,SVC_SMOTE,70.1,21
2,AdasynSVC,60.0,31
3,XGBOOST_SMOTE,81.5,15
4,Adacost,85.8,11
5,SelfPaced,87.7,11
6,TabNetSmote,78.8,12
7,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,89.6,12
