,clf,average auc,std auc
0,SVC_WEIGHTED,77.9,19
1,SVC_SMOTE,77.0,15
2,AdasynSVC,71.4,22
3,XGBOOST_SMOTE,85.4,10
4,Adacost,87.4,9
5,SelfPaced,89.2,9
6,TabNetSmote,81.3,9
7,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,91.3,8
