,clf,average auc,std auc
0,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,90.3,9
1,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,89.9,9
2,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN,90.5,8
