,clf,average gmean,std gmean
0,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,88.5,12
1,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,88.1,13
2,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN,89.3,10
