,clf,average auc,std auc
0,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,91.3,8
1,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,86.2,22
2,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN,91.4,8
