,clf,average gmean,std gmean
0,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_MEANSHIFT,89.6,12
1,UNCLUSTERED_OC_TABNET_ENSEMBLE_ADASYN_MEANSHIFT,84.4,24
2,UNCLUSTERED_OC_TABNET_ENSEMBLE_SMOTE_DBSCAN,90.3,10
